Countries,Overall Squad ratings_diff,Top 11 Squad ratings_diff,Squad_depth_60_diff,Squad_depth_45_diff,Squad_depth_avg_per_match_diff,Squad_depth_ratings_diff,Squad_depth_rating_15_diff,Squad_depth_index_diff,xg_per_90_diff,xga_per_90_diff,ppda_per_90_diff,Elo_ratings_diff,Attack Goals per 90_diff,Attack Assists per 90_diff,Attack Contributions per 90_diff,Attack Shots per 90_diff,Attack Key Passes per 90_diff,Attack Dribbles per 90_diff,Attack Rating_diff,Midfield Goals per 90_diff,Midfield Assists per 90_diff,Midfield Contributions per 90_diff,Midfield Touches per 90_diff,Midfield Key Passes per 90_diff,Midfield Dribbles per 90_diff,Midfield Defense per 90_diff,Midfield Tackles per 90_diff,Midfield Interceptions per 90_diff,Midfield Pass Accuracy_diff,Midfield Rating_diff,Defense Goals per 90_diff,Defense Assists per 90_diff,Defense Contributions per 90_diff,Defense Duels per 90_diff,Defense Clearances per 90_diff,Defense Blocks per 90_diff,Defense Take-ons Conceded per 90_diff,Defense Tackles per 90_diff,Defense Interceptions per 90_diff,Defense Duels Won Pct_diff,Defense Cards per 90_diff,Defense Rating_diff
Spain,-0.3000000000000007,0.40000000000000036,5,7,-9.0,0.0,0.0,45.0,-0.5999999999999999,0.030000000000000027,2.5999999999999996,-1.5900000000001455,-0.17833545625619734,-0.24018504203784696,-0.41852049829404436,-0.6366781456848365,-0.7751914108064393,-1.1526378227356098,-0.2400000000000002,-0.49483984763477384,0.003574578274820356,-0.4912652693599535,-15.438293959807112,-1.0189236860375661,-0.39199331994821096,0.22362223931848435,0.2728500928827424,-0.04922785356425785,-5.959999999999994,-0.5800000000000001,0.015954380523546793,-0.1274527084109624,-0.11149832788741561,-0.12190549302892872,0.14822496120689443,0.05176933495596592,0.13986556710400755,0.36855670946570473,0.36713308781898824,-0.019999999999999907,0.25,-0.15000000000000036
France,-0.3000000000000007,0.2999999999999998,-3,-1,1.0,0.0,0.0,17.0,-0.40000000000000013,0.09999999999999998,2.3000000000000007,-2.509999999999991,-0.39770744464653013,-0.06096784921029191,-0.45867529385682204,-1.2884538799775016,-0.7915351170705873,-1.763695185387423,-0.46999999999999975,-0.020406239730152168,-0.040249462422991794,-0.060655702153144,4.075042247130284,-1.4135105738770106,-1.5456569282791364,-0.6603188928499337,-0.0633331609528085,-0.5969857318971254,-3.9299999999999926,-0.39000000000000057,0.0588523786169691,-0.1247162507464664,-0.0658638721294973,-0.07723684585847934,0.9151172216818932,0.3173666965099877,0.18618413727804983,0.6546775035034464,0.4755048597379248,-0.029999999999999916,0.30000000000000004,-0.25
England,-0.40000000000000036,0.09999999999999964,-3,-1,-1.0,0.0,0.0,0.0,-0.15000000000000013,0.16000000000000003,1.5999999999999996,48.83999999999992,-0.16616664748276228,0.11140433605744773,-0.054762311425314625,-0.3438622026340119,-0.2974541721278914,-0.5404384326626392,-0.09999999999999964,-0.0492300396835301,-0.10775700701325283,-0.15698704669678284,1.8330546334889135,-0.5814635485561686,-1.0056280729777622,0.2445279157411333,0.5161354730825867,-0.2716075573414529,-4.179999999999993,-0.45999999999999996,-0.07050443058173733,-0.052878322936302985,-0.12338275351804033,0.34590311068550683,1.1024934721546447,0.20948845694371188,0.26789674646583495,0.4549692776697023,0.47797732220267486,-0.039999999999999925,0.28,-0.46999999999999975
Brazil,0.2999999999999998,0.0,-17,-15,11.0,1.0,0.0,-39.0,0.09999999999999987,-0.2699999999999999,-0.29999999999999893,113.64999999999986,0.2531827818120842,0.1689954332781855,0.42217821509026965,0.27865236444457486,0.28330788602248624,-0.38553538067079196,0.6299999999999999,-0.14269571734999398,-0.024436390829730342,-0.16713210817972438,8.82378651799857,-0.060529687049153846,-0.3651458386569334,0.3698581138492516,0.0756098213376144,0.294248292511637,-1.0999999999999943,0.16999999999999993,0.030226424418495813,0.029826306863490186,0.06005273128198601,0.9463692724692923,0.9038655567577281,0.10828444567573536,-0.10370064280874108,0.48109573245379256,0.5231431737605245,0.030000000000000027,0.2,0.20999999999999996
Portugal,-0.10000000000000053,0.0,8,9,-15.0,0.0,0.0,44.0,-0.09999999999999987,-0.040000000000000036,0.5999999999999996,110.98000000000002,-0.16498140931227095,-0.1029054394542841,-0.267886848766555,-0.6632526991032499,-0.03417534588796589,-0.2237303173160925,0.11000000000000032,-0.3359943045981372,0.01141991590989691,-0.3245743886882403,-7.245281620684111,-1.4414898027958285,-0.2596145193931255,0.74822283348007,0.5915331181972325,0.15668971528283815,-4.959999999999994,-0.25,-0.07421809945104471,-0.17764484615062948,-0.2518629456016742,-0.30717664004354717,0.7972553926863806,0.24729456234284097,0.08675577350584252,0.4759602729524397,0.27171728427260344,-0.019999999999999907,0.21000000000000002,-0.1900000000000004
Netherlands,-0.40000000000000036,-0.6999999999999993,2,4,-5.0,0.0,0.0,19.0,-0.32999999999999985,-0.06999999999999995,3.200000000000001,116.94000000000005,-0.2700123110448673,-0.03015992998655298,-0.3001722410314204,-0.4636876241576684,-1.160156233359855,-1.03480934919964,-0.5899999999999999,-0.1726572676864906,-0.08925380704808236,-0.261911074734573,-1.1807901137791532,-0.5342259674686156,-0.9135474425628552,0.5183752752256559,0.3988034168328589,0.11957185839279738,-5.939999999999998,-0.27000000000000046,-0.10899543936139719,-0.0901389704199662,-0.19913440978136338,-0.21283772845038307,0.5513157362794399,0.11897246512842907,0.36368399206886814,0.8498911289533324,0.6264891680488585,-0.05999999999999994,0.27,-0.17999999999999972
Belgium,-0.5,0.40000000000000036,2,4,-7.0,0.0,0.0,36.0,0.09999999999999987,-0.17000000000000004,1.200000000000001,140.0999999999999,-0.1212008794867851,-0.1499289714890653,-0.2711298509758503,-0.22027886607732605,-0.9989685031533042,-2.0560265655679113,-0.29000000000000004,-0.47321922488692203,-0.14984868699358955,-0.6230679118805116,-0.009762129445832102,-1.4910432462334453,-0.2538153655917478,0.32410269760177,0.0855406592691419,0.23856203833262835,-3.4199999999999875,-0.6100000000000003,-0.14055677943325248,-0.18850473376253168,-0.32906151319578414,0.008562716829795924,0.5780920499303464,0.25894068616193966,0.09813981858920906,0.2673947390725755,0.4394640550621811,-0.019999999999999907,0.21000000000000002,-0.45999999999999996
Germany,-0.10000000000000053,1.0,7,8,-8.0,0.0,1.0,73.0,-0.19999999999999996,-0.37,2.0,144.44000000000005,-0.14988204057930649,-0.12289615298806805,-0.2727781935673744,-0.13201012030120385,-1.0309463494288742,-0.18598189548368116,-0.11000000000000032,-0.105846162733601,-0.01672395366973803,-0.12257011640333906,-1.3393027353340443,-0.7066953583085411,-0.5241183096964271,0.7524912625285229,0.5850784206117674,0.16741284191675598,-2.4599999999999937,-0.03000000000000025,-0.12205214399609624,-0.13676523865033852,-0.2588173826464347,0.125135239710076,0.5685391153905868,-0.035363181774492936,0.08067064109167704,0.3924847385529904,0.33087457887771365,-0.009999999999999898,0.16000000000000003,-0.08000000000000007
Croatia,-0.5,-0.40000000000000036,-3,-2,0.0,0.0,0.0,-11.0,0.30000000000000004,-0.06999999999999995,-0.1999999999999993,157.74,-0.046577284843027755,-0.07081262004590405,-0.11738990488893186,-0.3317211505893689,-0.8200252872160714,-0.33404054790370674,-0.08999999999999986,-0.383948316700531,-0.2143835385772499,-0.598331855277781,2.894444382079243,-1.0124212795096599,-0.38855086943343686,0.43064738833196703,0.4103568662228758,0.02029052210909188,-4.6299999999999955,-0.3799999999999999,-0.07354923962503165,-0.1213627388397741,-0.19491197846480568,-0.6319325560543287,0.5888484590932856,0.09572440030656326,0.2979523419830409,0.04443148959396259,0.18044238850325955,-0.04999999999999993,0.31000000000000005,-0.5300000000000002
Morocco,-0.3000000000000007,0.40000000000000036,-2,0,-2.0,0.0,0.0,22.0,0.3999999999999999,0.030000000000000027,-0.5,118.94000000000005,-0.17076736939253007,0.1410184565608474,-0.029748912831682683,-0.2710255105046364,-0.22541655275126482,-0.8459747961228987,-0.040000000000000036,-0.1696088239391138,0.001956513480314559,-0.16765231045879928,7.401661453518557,-0.6474160092190409,-1.0715805336406348,-0.0647169070624436,0.1566730406372283,-0.2213899476996719,-3.3900000000000006,-0.27000000000000046,-0.00575637945912566,-0.21429574834165221,-0.22005212780077782,-0.6178654781650135,0.16796481531879914,0.08093258276247772,0.2680360395123519,0.26326722240080125,-0.03739534215602647,-0.04999999999999993,0.21000000000000002,-0.5300000000000002
