players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
A Santos,central midfielder,73.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Brazil
Abner,left back,80.75,6.5,0.0,0.0,0.0,0.0,2.0,0.75,0.25,3.75,0.5,2.0,1.0,1.0,0.0,0.25,0.5,0.0,0.0,Brazil
Alex Sandro,left back,82.0,7.0,0.0,0.0,0.0,0.0,1.5,0.5,1.0,5.0,1.0,2.5,1.5,2.0,0.0,0.0,1.0,0.0,0.0,Brazil
Alexsandro,centre back,90.0,6.67,0.0,0.0,0.0,0.0,4.33,2.33,0.0,6.33,0.33,2.67,2.0,4.0,1.0,0.0,0.0,0.0,0.0,Brazil
André,central midfielder,67.5,6.5,0.0,0.0,0.0,0.0,2.5,2.5,0.0,4.0,0.5,2.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,Brazil
André,defensive midfielder,74.75,6.75,0.0,0.0,0.0,0.0,2.75,2.0,0.25,4.5,0.75,2.5,1.25,0.75,0.5,0.75,0.75,0.25,0.0,Brazil
Arana,left back,86.0,6.6,0.0,0.0,0.4,1.0,4.0,1.4,1.0,3.8,0.8,2.0,1.0,1.4,0.6,0.6,1.0,0.0,0.0,Brazil
Augusto,left back,81.5,5.5,0.0,0.0,0.0,0.0,2.5,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.5,0.5,0.0,Brazil
Becker,goal keeper,88.67,7.0,0.0,0.0,0.0,0.0,7.0,3.11,0.0,0.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Brazil
Bento,goal keeper,84.0,5.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Brazil
