Countries,Overall Squad ratings_diff,Top 11 Squad ratings_diff,Squad_depth_60_diff,Squad_depth_45_diff,Squad_depth_avg_per_match_diff,Squad_depth_ratings_diff,Squad_depth_rating_15_diff,Squad_depth_index_diff,xg_per_90_diff,xga_per_90_diff,ppda_per_90_diff,Elo_ratings_diff,Attack Rating_diff,Attack Goals per 90_diff,Attack Assists per 90_diff,Attack Contributions per 90_diff,Attack Shots per 90_diff,Attack Key Passes per 90_diff,Attack Dribbles per 90_diff,Midfield Goals per 90_diff,Midfield Assists per 90_diff,Midfield Contributions per 90_diff,Midfield Touches per 90_diff,Midfield Key Passes per 90_diff,Midfield Dribbles per 90_diff,Midfield Defense per 90_diff,Midfield Tackles per 90_diff,Midfield Interceptions per 90_diff,Midfield Pass Accuracy_diff,Midfield Rating_diff,Defense Goals per 90_diff,Defense Assists per 90_diff,Defense Contributions per 90_diff,Defense Duels per 90_diff,Defense Clearances per 90_diff,Defense Blocks per 90_diff,Defense Take-ons Conceded per 90_diff,Defense Tackles per 90_diff,Defense Interceptions per 90_diff,Defense Duels Won Pct_diff,Defense Cards per 90_diff,Defense Rating_diff
Spain,-0.20000000000000018,0.0,14,15,-17.0,0.0,0.0,88.0,-0.6999999999999997,0.09999999999999998,3.299999999999999,-191.4000000000001,-0.29000000000000004,-0.16369731015253403,-0.33771219452189594,-0.50140950467443,-0.5155404297195343,-0.9153425865179596,-0.8071695095948828,-0.5337083807067834,-0.01632187090261779,-0.5500302516094011,-31.203035737338276,-0.7185542685876309,-0.31949432374043674,0.47166847346801655,0.2978531467117511,0.1738153267562652,-4.8700000000000045,-0.5899999999999999,-0.001024548961908657,-0.10180291048783313,-0.10282745944974181,0.1629964257581955,0.35892478243488446,0.06530501694867141,0.30092466652631483,0.2858092428804935,0.22933929749945015,-0.039999999999999925,0.04000000000000001,-0.07000000000000028
Argentina,0.10000000000000053,-0.40000000000000036,9,8,-8.0,0.0,0.0,43.0,-0.09999999999999987,0.06999999999999995,0.6999999999999993,-189.80999999999995,-0.04999999999999982,0.014638146103663319,-0.097527152484049,-0.08288900638038565,0.1211377159653022,-0.14015117571152036,0.345468313140727,-0.03886853307200957,-0.019896449177438144,-0.05876498224944768,-15.764741777531164,0.30036941744993517,0.07249899620777422,0.2480462341495322,0.025003053829008692,0.22304318032052306,1.0899999999999892,-0.009999999999999787,-0.01697892948545545,0.025649797923129256,0.008670868437673798,0.28490191878712423,0.21069982122799003,0.013535681992705495,0.16105909942230728,-0.08274746658521126,-0.1377937903195381,-0.020000000000000018,-0.21000000000000002,0.08000000000000007
France,-0.20000000000000018,-0.10000000000000053,6,7,-7.0,0.0,0.0,60.0,-0.5,0.16999999999999993,3.0,-192.31999999999994,-0.5199999999999996,-0.3830692985428668,-0.15849500169434091,-0.5415643002372077,-1.1673161640121994,-0.9316862927821077,-1.418226872246696,-0.059274772802161736,-0.06014591160042994,-0.11942068440259168,-11.68969953040088,-1.1131411564270755,-1.4731579320713624,-0.41227265870040153,-0.038330107123799806,-0.3739425515766024,-2.8400000000000034,-0.40000000000000036,0.04187344913151365,-0.09906645282333715,-0.05719300369182351,0.2076650729286449,1.1258170429098833,0.3309023785026932,0.3472432367003571,0.5719300369182352,0.3377110694183867,-0.04999999999999993,0.09,-0.16999999999999993
England,-0.2999999999999998,-0.3000000000000007,6,7,-9.0,0.0,0.0,43.0,-0.25,0.22999999999999998,2.299999999999999,-140.97000000000003,-0.14999999999999947,-0.15152850137909896,0.013877183573398733,-0.13765131780570028,-0.2227244866687097,-0.43760534783941174,-0.19497011952191223,-0.08809857275553967,-0.12765345619069096,-0.21575202894623052,-13.93168714404225,-0.2810941311062334,-0.9331290767699881,0.4925741498906655,0.5411385269115954,-0.04856437702092986,-3.0900000000000034,-0.46999999999999975,-0.08748336006719279,-0.02722852501317373,-0.11471188508036653,0.6308050294726311,1.3131932933826347,0.22302413893641737,0.4289558458881423,0.37222181108449104,0.34018353188313677,-0.05999999999999994,0.07,-0.3899999999999997
Brazil,0.40000000000000036,-0.40000000000000036,-8,-7,3.0,1.0,0.0,4.0,0.0,-0.19999999999999996,0.40000000000000036,-76.16000000000008,0.5800000000000001,0.2678209279157475,0.0714682807941365,0.339289208709884,0.39979008040987707,0.14315671031096588,-0.04006706753006495,-0.18156425042200355,-0.044332840007168486,-0.22589709042917205,-6.940955259532593,0.23983973040078133,-0.2926468424491592,0.6179043479987838,0.1006128751666231,0.51729147283216,-0.010000000000005116,0.16000000000000014,0.013247494933040362,0.05547610478661944,0.0687235997196598,1.2312711912564165,1.114565377985718,0.12182012766844086,0.0573584566135662,0.3983482658685813,0.38534938344098646,0.010000000000000009,-0.010000000000000009,0.29000000000000004
Portugal,0.0,-0.40000000000000036,17,17,-23.0,0.0,0.0,87.0,-0.19999999999999973,0.029999999999999916,1.299999999999999,-78.82999999999993,0.0600000000000005,-0.15034326320860764,-0.2004325919383331,-0.35077585514694065,-0.5421149831379477,-0.17432652159948625,0.12173799582463452,-0.3748628376701467,-0.008476533267541234,-0.38333937093768794,-23.010023398215274,-1.1411203853458933,-0.1871155231853513,0.9962690676296022,0.6165361720262412,0.3797328956033612,-3.8700000000000045,-0.2599999999999998,-0.09119702893650017,-0.15199504822750023,-0.24319207716400043,-0.022274721256422936,1.0079552139143706,0.26083024433554647,0.2478148729281498,0.39321280636722844,0.13392349395306535,-0.039999999999999925,0.0,-0.11000000000000032
Netherlands,-0.2999999999999998,-1.0999999999999996,11,12,-13.0,0.0,0.0,62.0,-0.4299999999999997,0.0,3.9000000000000004,-72.86999999999989,-0.6399999999999997,-0.25537416494120396,-0.12768708247060198,-0.383061247411806,-0.3425499081923662,-1.3003074090713753,-0.689341036058913,-0.21152580075850017,-0.1091502562255205,-0.3206760569840207,-16.945531891310317,-0.23385655001868044,-0.841048446355081,0.766421509375188,0.4238064706618676,0.34261503871332044,-4.8500000000000085,-0.28000000000000025,-0.12597436884685265,-0.06448917249683694,-0.1904635413436896,0.07206419033674116,0.7620155575074299,0.13250814712113457,0.5247430914911755,0.7671436623681211,0.48869537772932037,-0.07999999999999996,0.06,-0.09999999999999964
Belgium,-0.39999999999999947,0.0,11,12,-15.0,0.0,0.0,79.0,0.0,-0.10000000000000009,1.9000000000000004,-49.710000000000036,-0.33999999999999986,-0.10656273338312178,-0.2474561239731143,-0.35401885735623595,-0.09914115011202385,-1.1391196788648246,-1.7105582524271843,-0.5120877579589316,-0.1697451361710277,-0.6818328941299592,-15.774503906976996,-1.1906738287835101,-0.18131636938397355,0.5721489317513022,0.11054371309815059,0.4616052186531514,-2.3299999999999983,-0.6200000000000001,-0.15753570891870794,-0.16285493583940241,-0.32039064475811035,0.29346463561692016,0.7887918711583364,0.27247636815464515,0.25919891801151634,0.18464727248736423,0.301670264742643,-0.039999999999999925,0.0,-0.3799999999999999
Germany,0.0,0.5999999999999996,16,16,-16.0,0.0,1.0,116.0,-0.2999999999999998,-0.30000000000000004,2.6999999999999993,-45.36999999999989,-0.16000000000000014,-0.13524389447564317,-0.22042330547211705,-0.3556671999477601,-0.010872404335901642,-1.1710975251403946,0.15948641765704585,-0.14471469580561058,-0.03662040284717617,-0.18133509865278674,-17.104044512865208,-0.40632594085860596,-0.4516193134886529,1.0005374966780551,0.6100814744407761,0.39045602223727904,-1.3700000000000045,-0.040000000000000036,-0.1390310734815517,-0.11111544072720925,-0.25014651420876094,0.41003715849720024,0.7792389366185768,-0.02182749978178744,0.24172974051398433,0.3097372719677791,0.19308078855817556,-0.029999999999999916,-0.04999999999999999,0.0
Croatia,-0.39999999999999947,-0.8000000000000007,6,6,-8.0,0.0,0.0,32.0,0.20000000000000018,0.0,0.5,-32.069999999999936,-0.13999999999999968,-0.03193913873936444,-0.16833977252995305,-0.20027891126931752,-0.2105834346240667,-0.9601764629275917,0.011427765237020271,-0.4228168497725405,-0.23427998775468806,-0.6570968375272286,-12.87029739545192,-0.7120518620597247,-0.31605187322566264,0.6786936224814992,0.4353599200518845,0.24333370242961494,-3.5400000000000063,-0.3899999999999997,-0.09052816911048711,-0.09571294091664484,-0.1862411100271319,-0.3470306372672045,0.7995482803212757,0.10926008229926876,0.4590114414053481,-0.03831597699124867,0.042648598183721464,-0.06999999999999995,0.1,-0.4500000000000002
Morocco,-0.20000000000000018,0.0,7,8,-10.0,0.0,0.0,65.0,0.30000000000000004,0.09999999999999998,0.1999999999999993,-70.86999999999989,-0.08999999999999986,-0.15612922328886675,0.04349130407679841,-0.11263791921206834,-0.1498877945393342,-0.3655677284627852,-0.5005064829821717,-0.20847735701112338,-0.017939935697123585,-0.22641729270824695,-8.363080324012607,-0.3470465917691057,-0.9990815374328604,0.1833293270870886,0.181676094466237,0.0016532326208511527,-2.3000000000000114,-0.28000000000000025,-0.02273530894458111,-0.18864595041852295,-0.21138125936310403,-0.33296355937788924,0.37866463654678917,0.09446826475518322,0.42909513893465917,0.18051975581559,-0.17518913247556456,-0.06999999999999995,0.0,-0.4500000000000002
