players,position,opponent,ratings,minutes,yellow card,red card,goals scored,assist,saves,passing completed,passing accuracy in %,touches,long balls,long balls completed,key passes,shots attempted,shots on target,dribbles attempt,dribbles completed,duels won,clearances,blocks,interceptions,tackles,ariel duels,take-ons conceeded
Pickford,goal keeper,Albania,7,90,0,0,0,0,0,24,89,30,6,3,0,0,0,0,0,0,1,0,0,0,Low,0
Konsa,centre back,Albania,7,90,0,0,0,0,0,71,95,82,3,2,0,0,0,0,0,4,3,1,2,1,Low,0
Burn,centre back,Albania,8,90,0,0,0,0,0,137,96,154,3,2,1,2,1,0,0,6,4,2,2,3,Moderate,0
Walker,right back,Albania,7,90,0,0,0,0,0,71,92,90,3,1,1,0,0,1,1,3,1,0,1,1,Low,0
Lewis-Skelly,left back,Albania,8,90,0,0,1,0,0,46,88,68,3,1,2,1,1,5,3,6,1,0,2,1,Low,0
Bellingham,attacking midfielder,Albania,8,90,0,0,0,1,0,48,88,72,3,2,3,3,1,5,3,7,0,0,1,2,Low,1
Jones,defensive midfielder,Albania,7,74,0,0,0,0,0,102,95,107,2,2,1,1,0,1,1,4,0,0,1,2,Low,0
Rice,defensive midfielder,Albania,8,82,0,0,1,0,0,71,94,89,5,4,3,2,0,1,1,6,1,1,2,3,Moderate,0
Rashford,left wing,Albania,7,74,0,0,0,0,0,35,85,57,0,0,1,0,0,3,2,3,0,0,0,0,Low,1
Kane,centre forward,Albania,8,90,0,0,1,0,0,18,78,34,2,2,1,4,2,1,1,4,0,0,0,1,Low,0
Foden,right wing,Albania,6,74,0,0,0,0,0,34,92,39,0,0,2,1,0,0,0,0,0,0,0,0,Low,0
Pickford,goal keeper,Latvia,7,90,0,0,0,0,1,9,100,11,0,0,0,0,0,0,0,0,0,0,0,0,Low,0
Konsa,centre back,Latvia,7,90,0,0,0,0,0,82,94,96,5,3,0,2,1,2,2,5,1,0,0,0,Low,0
Guéhi,centre back,Latvia,6,90,0,0,0,0,0,81,93,94,5,3,0,1,0,0,0,5,4,1,2,2,Moderate,0
James,right back,Latvia,8,90,0,0,1,0,0,68,91,94,5,3,2,2,1,1,1,6,2,1,2,2,Low,1
Lewis-Skelly,left back,Latvia,7,79,0,0,0,0,0,58,92,76,3,1,0,0,0,1,1,3,1,0,1,1,Low,0
Bellingham,defensive midfielder,Latvia,7,67,1,0,0,0,0,43,91,58,1,1,0,2,1,2,1,6,0,0,1,2,Low,1
Rogers,attacking midfielder,Latvia,8,90,0,0,0,0,0,38,84,62,2,1,2,6,3,11,7,12,0,0,2,1,Low,0
Rice,defensive midfielder,Latvia,8,79,0,0,0,1,0,68,94,82,5,4,2,0,0,1,1,5,1,2,3,2,Moderate,0
Rashford,left wing,Latvia,8,79,0,0,0,0,0,24,75,48,0,0,6,5,1,4,2,3,0,0,0,1,Low,1
Kane,forward,Latvia,8,90,0,0,1,0,0,14,78,32,1,0,1,5,2,1,0,3,1,0,0,0,Low,1
Bowen,right wing,Latvia,6,61,0,0,0,0,0,19,81,36,1,0,2,1,0,2,0,2,0,0,1,1,Low,0
Eze,right wing,Latvia,8,29,0,0,1,0,0,13,100,19,0,0,0,2,1,2,2,3,0,0,0,0,Low,0
Pickford,goal keeper,Andorra,7,90,0,0,0,0,0,14,93,19,2,1,0,0,0,0,0,0,1,0,0,0,Low,0
Konsa,centre back,Andorra,7,90,0,0,0,0,0,88,95,97,6,4,0,0,0,0,0,4,2,1,1,1,Moderate,0
Burn,centre back,Andorra,8,90,0,0,0,0,0,108,95,119,6,4,0,1,0,0,0,6,3,0,1,3,Strong,0
James,left back,Andorra,8,90,0,0,0,0,0,64,88,92,7,4,1,1,0,2,1,6,2,1,1,2,Moderate,0
Jones,right back,Andorra,8,80,0,0,0,0,0,54,92,71,3,2,2,1,0,2,1,4,0,0,1,2,Low,0
Bellingham,defensive midfielder,Andorra,8,90,0,0,0,0,0,54,90,78,2,2,2,2,2,3,2,6,0,0,1,1,Low,0
Palmer,attacking midfielder,Andorra,7,64,0,0,0,0,0,31,86,48,2,1,1,1,0,3,1,2,0,0,0,1,Low,1
Henderson,defensive midfielder,Andorra,7,64,0,0,0,0,0,31,85,39,2,1,0,0,0,0,0,2,1,0,3,0,Low,0
Madueke,left wing,Andorra,8,90,0,0,0,1,0,34,89,62,1,1,4,3,2,7,5,8,0,0,1,1,Low,1
Kane,centre forward,Andorra,7,90,0,0,1,0,0,14,72,31,1,0,0,4,2,1,0,3,0,0,0,0,Low,0
Rogers,right wing,Andorra,7,80,0,0,0,0,0,34,89,52,2,1,2,1,0,4,2,5,0,0,1,1,Low,0
Pickford,goal keeper,Andorra,6,90,0,0,0,0,0,16,84,24,3,2,0,0,0,0,0,0,0,0,0,0,Low,0
Burn,centre back,Andorra,8,90,1,0,0,0,0,82,91,96,6,4,0,0,0,0,0,6,2,1,1,2,Moderate,0
Guéhi,centre back,Andorra,7,76,0,0,0,0,0,74,96,82,3,2,0,0,0,0,0,4,1,0,1,2,Moderate,0
James,right back,Andorra,8,68,0,0,0,1,0,75,91,100,8,5,2,0,0,5,2,5,0,0,0,2,Low,0
