players,position,opponent,ratings,minutes,yellow card,red card,goals scored,assist,saves,passing completed,passing accuracy in %,touches,long balls,long balls completed,key passes,shots attempted,shots on target,dribbles attempt,dribbles completed,duels won,clearances,blocks,interceptions,tackles,ariel duels,take-ons conceeded
Baumann,goal keeper,Slovakia,7,90,0,0,0,0,3,22,85,31,6,3,0,0,0,0,0,2,1,0,0,2,Low,0
Rüdiger,centre back,Slovakia,6,90,1,0,0,0,0,94,91,112,9,6,0,1,0,0,0,5,3,1,1,2,Moderate,1
Tah,centre back,Slovakia,7,90,0,0,0,0,0,82,94,94,7,5,0,0,0,0,0,6,4,1,2,3,Moderate,0
Collins,right back,Slovakia,4,45,1,0,0,0,0,10,100,17,0,0,1,0,0,1,0,5,1,0,1,1,Low,1
Mittelstädt,left back,Slovakia,5,90,0,0,0,0,0,48,86,74,4,2,2,1,1,2,1,4,2,0,1,1,Low,1
Kimmich,defensive midfielder,Slovakia,6,90,0,0,0,0,0,78,91,98,9,6,2,2,1,1,1,6,1,0,2,3,Moderate,1
Stiller,defensive midfielder,Slovakia,5,60,0,0,0,0,0,48,92,58,0,0,1,0,0,0,0,2,0,0,0,1,Low,0
Goretzka,attacking midfielder,Slovakia,5,90,0,0,0,0,0,48,89,66,4,3,1,2,1,1,0,4,1,0,1,2,Moderate,1
Wirtz,left wing,Slovakia,6,90,0,0,0,0,0,34,79,61,2,1,4,3,1,5,1,4,0,0,1,1,Low,2
Gnabry,right wing,Slovakia,7,66,0,0,0,0,0,21,84,38,0,0,1,1,0,3,1,3,0,0,0,1,Low,1
Woltemade,centre forward,Slovakia,7,90,0,0,0,0,0,14,78,31,0,0,1,2,0,1,0,4,2,0,1,0,Low,1
Raum,left back,Slovakia,7,45,0,0,0,0,0,28,82,41,4,2,1,0,0,1,0,3,1,0,0,1,Low,1
Baumann,goal keeper,Northern Island,7,90,0,0,0,0,1,22,92,31,4,2,0,0,0,0,0,0,1,0,0,0,Low,0
Rüdiger,centre back,Northern Island,7,82,1,0,0,0,0,64,91,82,6,4,0,1,0,1,1,5,4,1,2,2,Moderate,0
Anton,centre back,Northern Island,7,82,0,0,0,0,0,76,95,89,5,4,0,1,0,0,0,4,3,1,2,1,Moderate,0
Koch,centre back,Northern Island,7,90,0,0,0,0,0,94,92,114,7,4,0,1,0,0,0,6,3,1,2,2,Moderate,0
Raum,left wingback,Northern Island,8,90,0,0,0,1,0,41,80,74,5,3,2,1,1,2,1,6,1,0,1,2,Moderate,1
Leweling,right wingback,Northern Island,7,90,0,0,0,0,0,31,82,56,2,1,1,3,0,4,2,6,1,1,1,2,Low,1
Kimmich,central midfielder,Northern Island,8,90,0,0,0,0,0,64,89,94,8,5,4,1,1,2,1,6,1,0,2,3,Low,1
Groß,central midfielder,Northern Island,6,90,0,0,0,0,0,68,91,82,6,4,1,1,0,0,0,6,2,0,2,4,Low,0
Wirtz,attacking midfielder,Northern Island,8,90,0,0,1,0,0,48,89,71,2,2,3,4,2,5,3,7,0,0,1,1,Low,1
Gnabry,attacking midfielder,Northern Island,8,61,0,0,1,0,0,21,84,38,1,0,2,3,2,4,2,4,0,0,1,1,Low,1
Woltemade,centre forward,Northern Island,7,61,0,0,0,1,0,11,73,26,0,0,2,2,1,1,0,4,0,0,1,1,Moderate,0
Amiri,centre forward,Northern Island,7,29,0,0,1,0,0,12,86,18,0,0,1,1,1,1,1,2,0,0,0,1,Low,0
Baumann,goal keeper,Luxembourg,7,90,0,0,0,0,3,15,94,18,2,1,0,0,0,0,0,0,1,0,0,0,Low,0
Schlotterbeck,centre back,Luxembourg,7,45,0,0,0,0,0,48,93,58,5,3,0,0,0,0,0,3,2,1,1,2,Moderate,0
Tah,centre back,Luxembourg,7,90,0,0,0,0,0,121,97,134,8,6,0,0,0,1,1,4,2,1,1,1,Moderate,0
Kimmich,right back,Luxembourg,9,90,0,0,2,0,0,71,91,113,7,5,2,4,4,1,1,6,2,0,1,2,Low,0
Raum,left back,Luxembourg,9,81,0,0,1,1,0,61,85,94,17,10,5,2,1,1,1,4,1,0,1,2,Low,0
Pavlovic,defensive midfielder,Luxembourg,8,90,0,0,0,0,0,133,93,154,9,7,2,1,0,1,1,6,1,0,1,3,Low,0
Goretzka,defensive midfielder,Luxembourg,8,54,0,0,0,0,0,65,92,78,4,3,1,4,2,1,1,4,1,0,1,1,Moderate,0
Gnabry,attacking midfielder,Luxembourg,8,68,0,0,1,0,0,31,89,49,1,1,2,4,2,3,2,4,0,0,1,1,Low,1
Wirtz,left wing,Luxembourg,7,90,0,0,0,0,0,68,88,77,0,0,4,5,2,2,0,0,0,0,0,1,Low,0
Adeyami,right wing,Luxembourg,6,61,0,0,0,1,0,30,79,38,0,0,3,3,0,1,1,3,0,0,0,0,Low,0
Woltemade,centre forward,Luxembourg,7,61,0,0,0,0,0,14,78,29,0,0,1,2,0,2,1,4,0,0,0,1,Moderate,1
Anton,centre back,Luxembourg,7,45,0,0,0,0,0,55,90,63,4,2,0,1,0,0,0,2,1,0,0,1,Low,0
Baumann,goal keeper,Northern Island,7,90,0,0,0,0,3,39,72,59,11,4,0,0,0,0,0,0,2,0,0,0,Low,0
