players,position,opponent,ratings,minutes,yellow card,red card,goals scored,assist,saves,passing completed,passing accuracy in %,touches,long balls,long balls completed,key passes,shots attempted,shots on target,dribbles attempt,dribbles completed,duels won,clearances,blocks,interceptions,tackles,ariel duels,take-ons conceeded
Bonou,goal keeper,Tanzania,7,90,0,0,0,0,1,22,82,31,8,4,0,0,0,0,0,1,1,0,0,0,Low,0
Saïss,centre back,Tanzania,7,90,0,0,0,0,0,61,90,79,7,4,0,1,0,0,0,6,4,1,2,2,Moderate,0
Aguerd,centre back,Tanzania,8,90,0,0,0,1,0,64,91,82,9,6,1,0,0,0,0,6,4,1,2,2,Moderate,0
Hakimi,right back,Tanzania,7,90,1,0,0,0,0,49,86,82,5,3,1,1,0,3,2,6,2,1,1,2,Low,1
Mazraoui,left back,Tanzania,7,90,1,0,0,0,0,41,85,64,3,1,0,0,0,1,1,5,2,1,1,2,Low,0
Amrabat,defensive midfielder,Tanzania,7,90,1,0,0,0,0,52,91,68,5,3,0,0,0,1,1,6,1,1,2,3,Low,0
Harit,attacking midfielder,Tanzania,8,72,0,0,0,0,0,31,89,48,2,1,2,1,0,4,3,6,0,0,1,1,Low,0
El Khannouss,attacking midfielder,Tanzania,7,85,0,0,0,0,0,38,86,56,3,2,2,1,0,3,2,6,0,0,1,2,Low,1
Ziyech,right wing,Tanzania,8,81,1,0,1,0,0,31,80,62,7,4,3,4,2,5,3,6,0,0,1,2,Low,1
Adli,left wing,Tanzania,7,72,0,0,0,0,0,7,88,13,0,0,0,0,0,1,0,2,0,0,1,1,Low,0
En-Nesyri,centre forward,Tanzania,7,72,0,0,0,0,0,7,79,18,0,0,0,2,0,1,0,5,1,0,0,0,Strong,0
Bonou,goal keeper,Zambia,7,90,0,0,0,0,3,19,79,31,11,6,0,0,0,0,0,0,1,0,0,0,Low,0
Saïss,centre back,Zambia,7,90,0,0,0,0,0,61,87,79,8,4,0,0,0,0,0,5,6,1,2,1,Moderate,0
Aguerd,centre back,Zambia,7,90,0,0,0,0,0,71,92,86,6,4,0,1,0,0,0,6,4,1,2,2,Strong,0
Hakimi,right back,Zambia,7,90,0,0,0,0,0,48,86,76,5,3,2,1,0,3,2,6,2,1,2,2,Low,1
Attiyat Allah,left back,Zambia,7,90,0,0,0,0,0,42,86,64,4,2,1,0,0,1,1,5,2,1,2,2,Low,1
El Azzouzi,defensive midfielder,Zambia,7,90,0,0,0,0,0,48,91,62,3,2,0,0,0,0,0,6,2,1,3,2,Low,0
Ounahi,defensive midfielder,Zambia,8,78,0,0,0,0,0,52,91,71,5,3,2,1,0,4,3,6,1,0,1,2,Low,1
Díaz,attacking midfielder,Zambia,8,90,0,0,0,1,0,34,83,56,2,1,3,3,1,6,4,7,0,0,1,1,Low,1
Ziyech,right wing,Zambia,7,78,0,0,1,0,0,28,82,56,5,3,2,3,1,2,1,4,0,0,1,1,Low,1
Ben Seghir,left wing,Zambia,8,77,0,0,1,0,0,22,85,41,1,1,1,3,1,4,2,6,0,0,1,2,Low,0
En-Nesyri,centre forward,Zambia,7,64,0,0,0,0,0,6,75,19,0,0,0,2,0,1,0,3,1,0,0,0,Moderate,0
Bonou,goal keeper,Congo,7,90,0,0,0,0,1,22,92,28,5,3,0,0,0,0,0,1,1,0,0,0,Low,0
Riad,centre back,Congo,9,90,0,0,1,0,0,68,92,81,5,3,0,1,1,0,0,6,4,1,2,2,Moderate,0
Aguerd,centre back,Congo,7,90,0,0,0,0,0,62,91,79,7,4,0,1,0,0,0,6,4,1,2,2,Moderate,0
Hakimi,right back,Congo,8,68,0,0,0,1,0,42,91,63,3,2,2,1,0,2,1,5,1,0,2,2,Low,0
Attiyat Allah,left back,Congo,7,90,0,0,0,0,0,48,89,71,3,2,1,0,0,2,1,6,2,1,2,3,Low,0
Amrabat,defensive midfielder,Congo,7,90,0,0,0,0,0,62,94,78,5,4,1,0,0,0,0,6,1,1,2,3,Low,0
