players,position,opponent,ratings,minutes,yellow card,red card,goals scored,assist,saves,passing completed,passing accuracy in %,touches,long balls,long balls completed,key passes,shots attempted,shots on target,dribbles attempt,dribbles completed,duels won,clearances,blocks,interceptions,tackles,ariel duels,take-ons conceeded
Costa,goal keeper,Armenia,7,90,0,0,0,0,3,18,90,26,5,3,0,0,0,0,0,0,0,0,0,0,Low,0
Dias,centre back,Armenia,7,90,0,0,0,0,0,62,94,78,5,3,0,1,0,0,0,4,3,1,2,1,Moderate,0
Inacio,centre back,Armenia,8,90,0,0,0,0,0,78,94,91,6,4,1,1,0,0,0,4,4,1,2,1,Moderate,0
Cancelo,right back,Armenia,9,78,0,0,1,1,0,41,89,71,3,2,4,2,1,4,4,6,1,0,0,2,Low,0
Mendes,left back,Armenia,7,67,0,0,0,0,0,43,91,64,2,2,1,2,0,1,0,4,1,0,1,2,Moderate,0
Fernandes,attacking midfielder,Armenia,8,90,0,0,0,0,0,42,91,68,5,3,4,3,1,2,1,4,0,0,1,2,Low,1
J Neves,defensive midfielder,Armenia,7,90,0,0,0,0,0,62,94,81,3,2,1,3,1,1,1,4,1,0,2,2,Low,0
Vitinha,defensive midfielder,Armenia,8,90,0,0,0,0,0,82,94,102,6,5,2,1,0,2,2,6,1,0,2,3,Low,0
Félix,left wing,Armenia,8,90,0,0,2,1,0,28,88,44,1,1,2,4,3,5,3,6,0,0,1,1,Low,0
Ronaldo,centre forward,Armenia,9,56,0,0,2,0,0,18,100,31,0,0,0,8,4,1,1,2,0,0,0,0,Low,0
Neto,right wing,Armenia,8,45,0,0,0,1,0,27,96,36,1,1,1,0,0,2,1,2,0,0,0,1,Low,0
Trincão,right wing,Armenia,7,45,0,0,0,0,0,18,86,27,0,0,1,0,0,0,0,0,0,0,0,0,Low,0
Ramos,centre forward,Armenia,7,32,0,0,0,1,0,9,90,14,0,0,1,2,0,0,0,1,0,0,0,0,Low,0
Costa,goal keeper,Hungary,7,90,0,0,0,0,4,22,86,38,8,5,0,0,0,0,0,0,1,0,0,0,Low,0
Dias,centre back,Hungary,7,90,0,0,0,0,0,62,93,78,5,3,0,1,0,0,0,6,4,1,3,2,Strong,0
R Neves,centre back,Hungary,7,79,0,0,0,0,0,89,94,105,8,6,0,0,0,0,0,3,2,1,2,1,Low,1
Cancelo,right back,Hungary,9,90,0,0,1,1,0,58,89,94,6,4,3,3,2,4,2,7,1,0,2,3,Low,1
Mendes,left back,Hungary,7,90,0,0,0,0,0,65,87,74,3,2,1,1,0,1,1,4,2,1,1,2,Low,0
Fernandes,attacking midfielder,Hungary,6,65,0,0,0,0,0,37,88,58,3,2,2,0,0,1,0,2,0,0,0,1,Low,1
J Neves,defensive midfielder,Hungary,7,79,1,0,0,0,0,42,92,58,2,1,2,2,1,1,1,4,1,0,1,2,Low,1
Vitinha,defensive midfielder,Hungary,7,87,0,0,0,0,0,62,94,81,3,2,2,2,1,1,1,3,1,0,1,1,Low,1
Silva,right wing,Hungary,8,90,0,0,1,1,0,42,91,68,2,1,3,2,1,4,2,6,0,0,1,2,Low,1
Ronaldo,centre forward,Hungary,7,88,0,0,1,0,0,19,86,31,0,0,0,5,4,1,0,2,1,0,0,0,Low,0
Neto,left wing,Hungary,7,79,0,0,0,0,0,31,89,54,2,1,1,2,1,4,2,4,0,0,1,1,Low,1
