players,position,opponent,ratings,minutes,yellow card,red card,goals scored,assist,saves,passing completed,passing accuracy in %,touches,long balls,long balls completed,key passes,shots attempted,shots on target,dribbles attempt,dribbles completed,duels won,clearances,blocks,interceptions,tackles,ariel duels,take-ons conceeded
E Mendy,goal keeper,South Sudan,7,90,0,0,0,0,0,18,90,24,5,3,0,0,0,0,0,0,1,0,0,0,Low,0
Koulibaly,centre back,South Sudan,8,90,0,0,0,0,0,64,91,78,6,4,0,0,0,0,0,6,4,1,2,3,Moderate,0
Niakhaté,centre back,South Sudan,7,90,0,0,0,0,0,64,91,82,6,4,0,0,0,0,0,6,3,1,2,2,Moderate,0
Diatta,right back,South Sudan,7,63,0,0,0,0,0,41,93,58,3,2,1,0,0,2,1,5,1,0,2,2,Low,0
Jakobs,left back,South Sudan,7,90,0,0,0,0,0,52,88,78,4,2,1,0,0,1,1,6,2,0,1,3,Moderate,0
Gueye,central midfielder,South Sudan,7,73,0,0,0,1,0,54,92,71,4,3,2,1,0,1,1,5,1,1,2,2,Low,0
P Sarr,central midfielder,South Sudan,7,63,0,0,1,0,0,41,91,56,3,2,1,1,1,1,1,5,1,0,1,2,Low,0
Camara,central midfielder,South Sudan,8,90,0,0,1,0,0,42,89,68,4,3,2,3,1,2,2,7,1,0,2,3,Low,0
Ndiaye,right wing,South Sudan,7,64,0,0,0,0,0,24,83,41,1,1,2,2,0,4,2,5,0,0,1,2,Low,0
Mané,left wing,South Sudan,9,63,0,0,2,1,0,22,81,41,1,1,3,4,3,4,2,5,0,0,1,1,Low,0
Diallo,centre forward,South Sudan,7,63,0,0,0,1,0,14,82,26,0,0,1,2,1,1,1,3,1,0,0,0,Moderate,0
E Mendy,goal keeper,Togo,7,90,0,0,0,0,3,22,76,38,11,5,0,0,0,0,0,0,1,0,0,0,Low,0
Koulibaly,centre back,Togo,7,90,0,0,0,0,0,54,88,72,7,4,0,0,0,0,0,6,5,2,2,3,Strong,0
Niakhaté,centre back,Togo,7,90,0,0,0,0,0,54,88,72,6,3,0,0,0,0,0,5,4,1,2,2,Moderate,0
Jakobs,centre back,Togo,7,72,1,0,0,0,0,31,86,54,4,2,0,0,0,1,1,5,2,1,1,3,Low,0
Diatta,left midfielder,Togo,7,90,0,0,0,0,0,38,83,61,4,2,1,0,0,2,1,6,3,1,2,3,Low,0
