position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
left back,66.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,Argentina
attacking midfielder,45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Argentina
left midfielder,68.0,7.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,Argentina
left wing,73.4,8.0,0.6,0.4,1.0,1.8,2.0,1.4,1.8,3.6,0.6,1.2,0.4,0.0,0.0,1.6,2.8,0.0,0.0,Argentina
centre back,76.0,6.75,0.0,0.0,0.0,0.0,4.5,3.0,0.0,3.75,0.0,1.5,1.75,3.25,0.75,0.0,0.0,0.25,0.0,Argentina
central midfielder,77.45,7.36,0.0,0.09,0.18,1.18,6.0,3.91,1.36,6.09,0.64,2.55,1.09,0.55,0.27,1.0,1.18,0.09,0.0,Argentina
defensive midfielder,82.67,7.0,0.0,0.0,0.0,0.67,6.67,4.67,1.33,5.67,0.67,2.33,1.0,1.0,0.33,1.0,1.33,0.0,0.0,Argentina
right midfielder,84.67,7.0,0.0,0.0,0.0,0.33,4.33,3.0,1.33,6.67,1.33,2.0,1.0,0.67,0.33,0.67,1.67,0.33,0.0,Argentina
right wing,90.0,9.0,0.0,2.0,1.0,3.0,5.0,4.0,6.0,6.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,Argentina
attacking midfielder,11.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
goal keeper,90.0,6.75,0.0,0.0,0.0,0.0,10.88,4.94,0.0,0.44,0.06,0.0,0.06,0.94,0.0,0.0,0.0,0.0,0.0,Argentina
