players,position,opponent,ratings,minutes,yellow card,red card,goals scored,assist,saves,passing completed,passing accuracy in %,touches,long balls,long balls completed,key passes,shots attempted,shots on target,dribbles attempt,dribbles completed,duels won,clearances,blocks,interceptions,tackles,ariel duels,take-ons conceeded
E Martínez,goal keeper,Ecuador,7,90,0,0,0,0,3,18,72,34,11,4,0,0,0,0,0,1,1,0,0,0,Low,1
Otamendi,centre back,Ecuador,7,90,0,0,0,0,0,68,91,82,6,4,0,0,0,0,0,6,4,1,2,2,Moderate,0
Romero,centre back,Ecuador,8,90,0,0,0,0,0,65,99,81,3,2,0,0,0,1,1,7,3,1,4,7,Low,0
Molina,right back,Ecuador,7,90,0,0,0,0,0,41,85,68,4,2,1,0,0,1,1,5,2,0,1,2,Low,1
Tagliafico,left back,Ecuador,7,90,0,0,0,0,0,44,85,76,3,1,1,1,0,0,0,6,2,1,3,4,Moderate,0
Mac Allister,central midfielder,Ecuador,7,77,0,0,0,0,0,46,90,63,3,3,1,1,0,2,2,6,0,0,1,2,Low,1
De Paul,central midfielder,Ecuador,8,90,0,0,0,0,0,64,82,96,6,3,2,2,1,2,1,8,1,1,1,3,Low,1
Fernández,central midfielder,Ecuador,8,90,0,0,0,0,0,72,90,98,8,6,1,1,0,2,2,7,1,1,1,2,Low,1
Messi,right wing,Ecuador,8,89,0,0,1,0,0,34,77,71,1,1,2,3,2,8,4,8,0,0,0,1,Low,1
González,left wing,Ecuador,7,62,0,0,0,0,0,16,80,35,1,1,1,1,0,2,1,5,1,0,1,2,Low,1
L Martínez,centre forward,Ecuador,7,77,0,0,0,0,0,10,77,25,0,0,0,3,0,1,0,4,0,0,0,1,Low,0
E Martínez,goal keeper,Bolivia,7,90,0,0,0,0,4,22,71,43,16,7,0,0,0,0,0,1,1,0,0,0,Low,0
Otamendi,centre back,Bolivia,8,90,0,0,0,0,0,68,92,86,6,3,0,1,0,0,0,6,5,1,2,2,Strong,0
Romero,centre back,Bolivia,8,90,0,0,0,0,0,63,91,81,5,3,0,0,0,0,0,7,4,1,2,3,Moderate,0
Molina,right back,Bolivia,7,90,0,0,0,0,0,41,87,68,4,2,1,1,0,1,1,5,2,0,1,2,Low,0
Tagliafico,left back,Bolivia,8,90,0,0,1,0,0,46,89,74,3,1,1,1,1,1,1,6,2,1,3,2,Moderate,0
Mac Allister,central midfielder,Bolivia,7,85,0,0,0,0,0,44,88,58,2,1,1,1,0,1,0,4,1,0,1,2,Low,1
De Paul,central midfielder,Bolivia,7,76,0,0,0,0,0,44,81,68,6,3,1,2,1,1,1,6,1,0,1,2,Low,1
Fernández,central midfielder,Bolivia,8,87,0,0,1,0,0,71,92,94,6,4,1,3,2,1,1,6,1,1,1,3,Low,0
Di María,right wing,Bolivia,9,90,0,0,0,2,0,33,77,63,5,4,6,3,1,4,2,6,0,0,1,2,Low,1
González,left wing,Bolivia,8,85,0,0,1,0,0,22,81,46,1,1,2,3,2,4,2,6,1,0,1,1,Moderate,0
Álvarez,centre forward,Bolivia,7,85,0,0,0,0,0,16,80,33,0,0,2,3,1,2,1,6,1,0,1,2,Low,0
Palacios,central midfielder,Bolivia,7,14,0,0,0,1,0,12,92,16,1,1,1,0,0,0,0,1,0,0,1,0,Low,0
E Martínez,goal keeper,Paraguay,7,90,0,0,0,0,4,18,69,35,15,7,0,0,0,0,0,1,1,0,0,0,Low,0
Otamendi,centre back,Paraguay,8,90,0,0,1,0,0,104,93,121,8,6,0,1,1,0,0,5,3,1,2,2,Moderate,0
Romero,centre back,Paraguay,8,90,0,0,0,0,0,58,91,76,5,3,0,0,0,0,0,7,4,1,2,3,Moderate,0
Molina,right back,Paraguay,7,90,0,0,0,0,0,41,89,68,3,1,1,1,0,1,0,4,2,1,1,2,Low,0
Tagliafico,left back,Paraguay,7,90,0,0,0,0,0,56,89,81,3,2,1,0,0,1,1,7,2,0,3,4,Moderate,0
Mac Allister,central midfielder,Paraguay,7,90,0,0,0,0,0,46,90,63,4,3,1,1,0,1,1,5,1,0,2,2,Low,0
