position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
left back,60.0,7.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,3.5,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,Belgium
right back,89.67,7.67,0.0,0.33,0.33,0.67,3.67,2.0,1.67,5.33,0.33,2.67,0.67,1.33,0.0,1.0,1.67,0.0,0.0,Belgium
goal keeper,90.0,7.0,0.0,0.0,0.0,0.0,4.25,2.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,Belgium
attacking midfielder,85.0,8.33,1.67,0.33,2.67,4.67,5.0,3.33,3.67,4.0,1.0,1.0,0.33,0.67,0.0,1.0,1.33,0.0,0.0,Belgium
central midfielder,71.33,7.67,0.33,0.0,1.33,3.0,7.0,4.67,4.33,3.33,0.33,1.0,1.0,0.0,0.0,1.33,2.0,0.33,0.0,Belgium
left back,68.83,7.33,0.33,0.33,0.5,1.17,3.5,2.17,2.0,4.5,0.33,1.83,1.0,1.5,0.17,1.17,1.67,0.17,0.0,Belgium
centre forward,70.75,8.0,0.5,0.75,1.25,2.25,0.75,0.5,1.75,4.0,0.25,1.25,0.25,0.5,0.0,1.0,1.75,0.0,0.0,Belgium
centre back,90.0,7.17,0.0,0.0,0.0,0.33,6.5,4.5,0.0,4.5,0.33,1.67,1.33,3.0,0.67,0.0,0.0,0.0,0.0,Belgium
left wing,83.67,8.67,0.67,0.33,1.67,4.0,1.67,1.0,4.33,9.33,0.0,1.0,0.67,0.0,0.0,7.0,10.0,0.0,0.0,Belgium
right wing,78.8,8.0,0.6,0.4,1.2,3.2,1.2,0.6,3.0,7.2,0.2,0.8,0.8,0.0,0.0,5.4,8.6,0.0,0.0,Belgium
centre back,90.0,7.0,0.0,0.0,0.0,0.0,5.5,3.0,0.0,5.0,0.0,1.5,2.5,5.0,1.5,0.0,0.0,0.0,0.0,Belgium
left wing,90.0,8.0,1.0,0.0,2.0,4.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,Belgium
goal keeper,90.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Belgium
centre forward,84.0,6.5,0.5,0.0,1.0,2.0,0.0,0.0,1.0,3.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Belgium
centre back,90.0,8.0,1.0,0.0,1.0,1.0,6.0,5.0,0.0,6.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,Belgium
right back,53.5,7.5,0.33,0.33,0.67,1.17,3.0,1.83,1.5,3.5,0.33,1.67,1.17,1.5,0.5,0.33,0.67,0.33,0.0,Belgium
defensive midfielder,76.67,7.0,0.0,0.0,0.0,0.33,2.33,1.67,0.0,6.33,0.33,3.33,1.67,1.67,0.67,0.67,0.67,0.0,0.0,Belgium
centre forward,61.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Belgium
central midfielder,82.0,8.0,0.0,0.0,0.5,2.0,4.0,3.0,1.5,5.5,0.5,2.0,1.0,0.5,0.0,1.0,1.5,0.0,0.0,Belgium
defensive midfielder,79.5,7.5,0.25,0.0,1.0,1.5,3.5,2.5,1.25,5.5,0.25,2.75,1.0,0.75,0.75,1.0,1.25,0.0,0.0,Belgium
left wing,29.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Belgium
right wing,59.0,7.75,0.5,0.75,0.75,2.0,2.0,1.0,2.75,4.5,0.75,1.25,0.5,0.25,0.0,1.75,3.0,0.25,0.0,Belgium
goal keeper,90.0,6.67,0.0,0.0,0.0,0.0,11.0,3.67,0.0,0.67,0.0,0.0,0.33,1.33,0.0,0.0,0.0,0.0,0.0,Belgium
