Countries,Overall Squad ratings_diff,Top 11 Squad ratings_diff,Squad_depth_60_diff,Squad_depth_45_diff,Squad_depth_avg_per_match_diff,Squad_depth_ratings_diff,Squad_depth_rating_15_diff,Squad_depth_index_diff,xg_per_90_diff,xga_per_90_diff,ppda_per_90_diff,Elo_ratings_diff,Attack Goals per 90_diff,Attack Assists per 90_diff,Attack Contributions per 90_diff,Attack Shots per 90_diff,Attack Key Passes per 90_diff,Attack Dribbles per 90_diff,Attack Rating_diff,Midfield Goals per 90_diff,Midfield Assists per 90_diff,Midfield Contributions per 90_diff,Midfield Touches per 90_diff,Midfield Key Passes per 90_diff,Midfield Dribbles per 90_diff,Midfield Defense per 90_diff,Midfield Tackles per 90_diff,Midfield Interceptions per 90_diff,Midfield Pass Accuracy_diff,Midfield Rating_diff,Defense Goals per 90_diff,Defense Assists per 90_diff,Defense Contributions per 90_diff,Defense Duels per 90_diff,Defense Clearances per 90_diff,Defense Blocks per 90_diff,Defense Take-ons Conceded per 90_diff,Defense Tackles per 90_diff,Defense Interceptions per 90_diff,Defense Duels Won Pct_diff,Defense Cards per 90_diff,Defense Rating_diff
Spain,-0.6000000000000005,0.40000000000000036,22,22,-20.0,-1.0,0.0,84.0,-0.6999999999999997,0.29999999999999993,2.8999999999999986,-115.24000000000001,-0.4315182380682816,-0.40918047531603247,-0.840698713384314,-0.9153305101294114,-1.0584992968289255,-0.7671024420648178,-0.8700000000000001,-0.35214413028477987,0.028010969104550698,-0.3241331611802291,-24.262080477805682,-0.9583939989884123,-0.026847481291277564,-0.14623587453076725,0.19724027154512802,-0.34347614607589483,-4.859999999999999,-0.75,-0.01427204389494902,-0.15727901527445257,-0.1715510591694016,-1.068274765498221,-0.7556405955508336,-0.056515110719769446,0.24356620991274863,-0.11253902298808782,-0.15601008594153631,-0.04999999999999993,0.05000000000000002,-0.3600000000000003
Argentina,-0.2999999999999998,0.0,17,15,-11.0,-1.0,0.0,39.0,-0.09999999999999987,0.2699999999999999,0.29999999999999893,-113.64999999999986,-0.2531827818120842,-0.1689954332781855,-0.42217821509026965,-0.27865236444457486,-0.28330788602248624,0.38553538067079196,-0.6299999999999999,0.14269571734999398,0.024436390829730342,0.16713210817972438,-8.82378651799857,0.060529687049153846,0.3651458386569334,-0.3698581138492516,-0.0756098213376144,-0.294248292511637,1.0999999999999943,-0.16999999999999993,-0.030226424418495813,-0.029826306863490186,-0.06005273128198601,-0.9463692724692923,-0.9038655567577281,-0.10828444567573536,0.10370064280874108,-0.48109573245379256,-0.5231431737605245,-0.030000000000000027,-0.2,-0.20999999999999996
France,-0.6000000000000005,0.2999999999999998,14,14,-10.0,-1.0,0.0,56.0,-0.5,0.3699999999999999,2.5999999999999996,-116.15999999999985,-0.6508902264586144,-0.22996328248847742,-0.8808535089470917,-1.5671062444220765,-1.0748430030930736,-1.378159804716631,-1.0999999999999996,0.12228947761984181,-0.015813071593261452,0.10647640602658037,-4.748744270868286,-1.3529808868278568,-1.180511089622203,-1.0301770066991853,-0.1389429822904229,-0.8912340244087624,-2.8299999999999983,-0.5600000000000005,0.028625954198473285,-0.15454255760995658,-0.1259166034114833,-1.0236061183277716,0.011251664924165183,0.20908225083425236,0.2898847800867909,0.1735817710496539,-0.04763831402259977,-0.05999999999999994,0.1,-0.45999999999999996
England,-0.7000000000000002,0.09999999999999964,14,14,-12.0,-1.0,0.0,39.0,-0.25,0.42999999999999994,1.8999999999999986,-64.80999999999995,-0.41934942929484653,-0.05759109722073777,-0.4769405265155843,-0.6225145670785868,-0.5807620581503776,-0.15490305199184728,-0.7299999999999995,0.09346567766646388,-0.08332061618352249,0.010145061482941531,-6.990731884509657,-0.5209338615070147,-0.640482234320829,-0.1253301981081183,0.44052565174497227,-0.5658558498530899,-3.0799999999999983,-0.6299999999999999,-0.10073085500023314,-0.08270462979979318,-0.18343548480002633,-0.6004661617837854,0.1986279153969166,0.10120401126797651,0.3715973892745761,-0.02612645478409026,-0.04516585155784969,-0.06999999999999995,0.08000000000000002,-0.6799999999999997
Portugal,-0.40000000000000036,0.0,25,24,-26.0,-1.0,0.0,83.0,-0.19999999999999973,0.22999999999999987,0.8999999999999986,-2.6699999999998454,-0.4181641911243552,-0.2719008727324696,-0.6900650638568246,-0.9419050635478248,-0.31748323191045213,0.16180506335469946,-0.5199999999999996,-0.1932985872481432,0.03585630673962725,-0.15744228050851589,-16.06906813868268,-1.3809601157466747,0.10553131926380788,0.3783647196308184,0.5159232968596181,-0.13755857722879883,-3.8599999999999994,-0.41999999999999993,-0.10444452386954052,-0.20747115301411967,-0.31191567688366023,-1.2535459125128394,-0.10661016407134749,0.1390101166671056,0.1904564163145836,-0.005135459501352857,-0.2514258894879211,-0.04999999999999993,0.010000000000000009,-0.40000000000000036
Netherlands,-0.7000000000000002,-0.6999999999999993,19,19,-16.0,-1.0,0.0,58.0,-0.4299999999999997,0.19999999999999996,3.5,3.290000000000191,-0.5231950928569515,-0.19915536326473848,-0.72235045612169,-0.7423399886022433,-1.4434641193823412,-0.649273968528848,-1.2199999999999998,-0.029961550336496612,-0.06481741621835202,-0.09477896655484863,-10.004576631777724,-0.47369628041946177,-0.5484016039059219,0.14851716137640425,0.3231935954952445,-0.1746764341188396,-4.840000000000003,-0.4400000000000004,-0.139221863779893,-0.11996527728345639,-0.2591871410633494,-1.1592070009196753,-0.3525498204782882,0.010688019452693709,0.46738463487760923,0.36879539649953985,0.10334599428833391,-0.08999999999999997,0.07,-0.3899999999999997
Belgium,-0.7999999999999998,0.40000000000000036,19,19,-18.0,-1.0,0.0,75.0,0.0,0.09999999999999987,1.5,26.450000000000045,-0.37438366129886935,-0.3189244047672508,-0.6933080660661199,-0.4989312305219009,-1.2822763891757905,-1.6704911848971193,-0.9199999999999999,-0.33052350753692805,-0.1254122961638592,-0.4559358037007872,-8.833548647444402,-1.4305135591842915,0.11133047306518562,-0.045755416247481584,0.009930837931527492,-0.05568625417900863,-2.319999999999993,-0.7800000000000002,-0.1707832038517483,-0.21833104062602185,-0.38911424447777015,-0.9378065556394963,-0.3257735068273817,0.1506562404862043,0.20184046139795014,-0.21370099338121706,-0.08367911869834344,-0.04999999999999993,0.010000000000000009,-0.6699999999999999
Germany,-0.40000000000000036,1.0,24,23,-19.0,-1.0,1.0,112.0,-0.2999999999999998,-0.10000000000000009,2.299999999999999,30.79000000000019,-0.40306482239139074,-0.29189158626625356,-0.6949564086576441,-0.4106624847457787,-1.3142542354513604,0.1995534851871108,-0.7400000000000002,0.03684955461639297,0.007712437159992314,0.04456199177638531,-10.163089253332615,-0.6461656712593873,-0.15897247103949375,0.38263314867927134,0.509468599274153,-0.126835450594881,-1.3599999999999994,-0.20000000000000018,-0.15227856841459206,-0.16659154551382868,-0.31887011392842074,-0.8212340327592162,-0.3353264413671413,-0.1436476274502283,0.18437128390041813,-0.08861099390080218,-0.1922685948828109,-0.039999999999999925,-0.03999999999999998,-0.29000000000000004
Croatia,-0.7999999999999998,-0.40000000000000036,14,13,-11.0,-1.0,0.0,28.0,0.20000000000000018,0.19999999999999996,0.09999999999999964,44.090000000000146,-0.299760066655112,-0.23980805332408955,-0.5395681199792015,-0.6103735150339438,-1.1033331732385576,0.05149483276708522,-0.7199999999999998,-0.241252599350537,-0.18994714774751956,-0.4311997470980566,-5.9293421359193275,-0.951891592460506,-0.023405030776503466,0.06078927448271543,0.3347470448852614,-0.2739577704025451,-3.530000000000001,-0.5499999999999998,-0.10377566404352746,-0.15118904570326427,-0.2549647097467917,-1.578301828523621,-0.3150170976644424,-0.012560045369172101,0.4016529847917819,-0.43666424285982997,-0.342700785257265,-0.07999999999999996,0.11000000000000001,-0.7400000000000002
Morocco,-0.6000000000000005,0.40000000000000036,15,15,-13.0,-1.0,0.0,61.0,0.30000000000000004,0.29999999999999993,-0.20000000000000107,5.290000000000191,-0.4239501512046143,-0.027976976717338092,-0.45192712792195233,-0.5496778749492113,-0.5087244387737511,-0.46043941545210676,-0.6699999999999999,-0.02691310658911983,0.0263929043100449,-0.0005202022790748995,-1.4221250644800136,-0.586886322169887,-0.7064346949837013,-0.4345750209116952,0.08106321929961391,-0.5156382402113089,-2.2900000000000063,-0.4400000000000004,-0.03598280387762147,-0.24412205520514238,-0.28010485908276384,-1.5642347506343057,-0.7359007414389289,-0.02735186291325764,0.37173668232109297,-0.2178285100529913,-0.560538515916551,-0.07999999999999996,0.010000000000000009,-0.7400000000000002
Colombia,-0.40000000000000036,0.40000000000000036,8,7,-3.0,-1.0,0.0,-4.0,0.40000000000000013,0.19999999999999996,-0.40000000000000036,76.16000000000008,-0.2678209279157475,-0.0714682807941365,-0.339289208709884,-0.39979008040987707,-0.14315671031096588,0.04006706753006495,-0.5800000000000001,0.18156425042200355,0.044332840007168486,0.22589709042917205,6.940955259532593,-0.23983973040078133,0.2926468424491592,-0.6179043479987838,-0.1006128751666231,-0.51729147283216,0.010000000000005116,-0.16000000000000014,-0.013247494933040362,-0.05547610478661944,-0.0687235997196598,-1.2312711912564165,-1.114565377985718,-0.12182012766844086,-0.0573584566135662,-0.3983482658685813,-0.38534938344098646,-0.010000000000000009,0.010000000000000009,-0.29000000000000004
Uruguay,-0.40000000000000036,0.5999999999999996,11,11,-9.0,-1.0,1.0,18.0,0.6700000000000002,0.09999999999999987,-1.1000000000000014,92.66000000000008,0.01985609171733907,-0.08453353666796976,-0.06467744495063066,0.14229231418297794,0.39014510816344683,0.1794499127183493,-0.39999999999999947,0.07777429989968632,0.06977424945845115,0.1475485493581375,11.597073120875486,0.25347382040371746,0.22354902854987158,-0.6916313449419018,-0.3833635282621044,-0.3082678166797963,4.670000000000002,-0.3600000000000003,-0.00022944817408202325,-0.028970126459596318,-0.029199574633678345,-0.944050745370042,-0.9709283044820101,-0.03459160672460593,0.05369546169867523,-0.4917166149847403,-0.28491038672113045,-0.020000000000000018,-0.10999999999999999,-0.21999999999999975
Senegal,-0.5,0.40000000000000036,16,16,-12.0,-1.0,1.0,36.0,0.10000000000000009,0.04999999999999982,1.1999999999999993,83.16000000000008,-0.17144606174438196,-0.25103285108255746,-0.4224789128269395,-0.40292897019996876,-0.689515152059011,-0.5879116334399901,-0.54,-0.06900519427347412,0.05669718378471826,-0.01230801048875585,2.2033763998614546,-0.16262640952446006,-0.17947413570457327,-1.702363068962332,-0.5475018384964354,-1.1548612304658965,-1.019999999999996,-0.33999999999999986,0.001245363994640005,-0.06782879351226322,-0.0665834295176232,-1.7261006230884108,-1.0621779180997546,-0.40695534339533257,0.41881242786178263,-0.5998300034603123,-0.7628855983669183,-0.08999999999999997,0.09000000000000001,-0.46999999999999975
