players,position,opponent,ratings,minutes,yellow card,red card,goals scored,assist,saves,passing completed,passing accuracy in %,touches,long balls,long balls completed,key passes,shots attempted,shots on target,dribbles attempt,dribbles completed,duels won,clearances,blocks,interceptions,tackles,ariel duels,take-ons conceeded
Ederson,goal keeper,Bolivia,6,90,0,0,0,0,2,10,100,13,2,2,0,0,0,0,0,0,0,0,0,0,Low,0
Marquinhos,centre back,Bolivia,6,90,0,0,0,0,0,71,100,76,2,2,0,0,0,0,0,3,1,0,0,1,Moderate,0
Magalhães,centre back,Bolivia,7,84,0,0,0,0,0,72,94,81,4,1,0,0,0,0,0,2,1,1,1,1,Low,0
Danilo,right back,Bolivia,8,90,0,0,0,1,0,72,91,94,6,4,1,1,0,0,0,5,2,0,1,3,Moderate,0
Lodi,left back,Bolivia,7,71,0,0,0,0,0,44,92,62,2,1,0,0,0,0,0,2,1,0,1,1,Low,0
Neymar,attacking midfielder,Bolivia,9,90,1,0,2,1,0,64,90,96,5,3,4,7,4,10,7,11,0,0,0,1,Low,2
Guimarães,defensive midfielder,Bolivia,8,71,0,0,0,1,0,64,93,81,6,5,3,1,0,1,1,4,0,0,1,1,Low,0
Casemiro,defensive midfielder,Bolivia,8,90,0,0,0,0,0,68,92,84,6,4,1,1,1,0,0,6,1,1,2,3,Moderate,1
Raphinha,right wing,Bolivia,8,90,0,0,1,1,0,32,82,56,3,2,3,4,2,6,3,5,0,0,1,1,Low,1
Richarlison,centre forward,Bolivia,6,71,0,0,0,0,0,8,73,19,0,0,1,4,2,1,0,2,0,0,0,1,Low,0
Rodrygo,left wing,Bolivia,9,89,0,0,2,1,0,35,85,56,2,1,3,4,3,6,3,7,0,0,1,2,Low,1
Ederson,goal keeper,Peru,7,90,0,0,0,0,0,22,85,30,6,2,0,0,0,0,0,0,1,0,0,0,Low,0
Marquinhos,centre back,Peru,9,90,0,0,1,0,0,73,94,86,6,3,1,1,1,0,0,4,2,1,1,1,Moderate,0
Magalhães,centre back,Peru,7,90,0,0,0,0,0,56,89,68,2,1,0,0,0,0,0,2,1,0,0,1,Low,0
Danilo,right back,Peru,7,90,0,0,0,0,0,56,90,78,4,2,1,1,0,0,0,4,2,1,1,2,Low,0
Lodi,left back,Peru,7,90,0,0,0,0,0,43,81,71,6,3,1,0,0,1,1,6,1,1,2,3,Low,0
Neymar,attacking midfielder,Peru,7,90,0,0,0,1,0,35,78,68,3,1,3,1,1,7,2,6,0,0,0,1,Low,2
Guimarães,defensive midfielder,Peru,7,85,1,0,0,0,0,56,90,76,6,4,1,0,0,1,1,6,0,1,1,3,Moderate,1
Casemiro,defensive midfielder,Peru,7,90,0,0,0,0,0,50,81,77,7,3,0,1,1,0,0,7,1,0,1,4,Moderate,2
Raphinha,right wing,Peru,7,85,0,0,0,0,0,24,77,50,4,1,1,2,1,3,1,4,1,0,1,2,Low,1
Richarlison,centre forward,Peru,6,64,0,0,0,0,0,7,78,19,0,0,0,1,0,0,0,2,0,0,0,0,Moderate,0
Rodrygo,left wing,Peru,7,90,0,0,0,0,0,35,85,59,2,1,2,1,0,6,2,6,0,0,1,3,Low,2
Ederson,goal keeper,Venezuela,6,90,0,0,0,0,1,13,81,20,6,2,0,0,0,0,0,0,1,0,0,0,Low,0
Marquinhos,centre back,Venezuela,6,90,0,0,0,0,0,78,94,89,6,4,0,0,0,0,0,3,2,1,1,2,Low,0
Magalhães,centre back,Venezuela,8,90,0,0,1,0,0,71,92,84,4,2,0,1,1,0,0,5,2,1,1,2,Moderate,0
Danilo,right back,Venezuela,7,42,0,0,0,0,0,29,94,38,2,2,0,1,0,0,0,2,1,0,1,1,Low,0
Arana,left back,Venezuela,7,90,0,0,0,0,0,63,91,88,6,3,2,1,0,1,1,4,1,0,1,2,Low,1
Neymar,attacking midfielder,Venezuela,8,90,0,0,0,1,0,53,87,89,6,3,7,5,2,7,3,6,0,0,0,1,Low,2
Guimarães,defensive midfielder,Venezuela,6,79,0,0,0,0,0,68,93,82,3,2,1,1,0,1,1,5,0,1,1,2,Low,0
Casemiro,defensive midfielder,Venezuela,7,79,0,0,0,0,0,61,88,82,6,4,1,2,1,0,0,5,1,1,1,3,Moderate,1
Vinícius,left wing,Venezuela,6,79,0,0,0,0,0,18,82,41,1,0,1,1,0,5,1,3,0,0,0,1,Low,1
Richarlison,centre forward,Venezuela,6,59,0,0,0,0,0,10,77,18,0,0,1,1,0,1,1,2,0,0,0,1,Low,0
Rodrygo,right wing,Venezuela,6,90,0,0,0,0,0,35,88,59,2,1,2,3,0,5,2,4,0,0,0,1,Low,2
Couto,right back,Venezuela,7,48,0,0,0,0,0,35,90,53,2,1,1,0,0,2,1,3,1,0,1,2,Low,1
Becker,goal keeper,Argentina,6,90,0,0,0,0,1,20,80,32,9,4,0,0,0,0,0,0,1,0,0,0,Low,0
Marquinhos,centre back,Argentina,7,45,0,0,0,0,0,24,92,30,2,1,0,0,0,0,0,1,1,0,1,0,Low,0
Magalhães,centre back,Argentina,7,72,0,0,0,0,0,36,90,48,4,2,0,0,0,0,0,3,2,1,1,1,Moderate,0
Royal,right back,Argentina,6,90,0,0,0,0,0,44,90,71,4,2,0,0,0,1,0,5,1,0,1,3,Moderate,1
Augusto,left back,Argentina,5,90,1,0,0,0,0,22,76,48,3,1,0,0,0,1,0,3,1,1,3,2,Low,1
Rodrygo,attacking midfielder,Argentina,6,45,0,0,0,0,0,12,86,24,1,1,1,1,0,3,2,4,0,0,0,0,Low,0
