players,position,opponent,ratings,minutes,yellow card,red card,goals scored,assist,saves,passing completed,passing accuracy in %,touches,long balls,long balls completed,key passes,shots attempted,shots on target,dribbles attempt,dribbles completed,duels won,clearances,blocks,interceptions,tackles,ariel duels,take-ons conceeded
Vargas,goal keeper,Venezuela,7,90,0,0,0,0,2,20,74,33,11,4,0,0,0,0,0,1,1,0,0,0,Low,0
Lucumí,centre back,Venezuela,7,90,0,0,0,0,0,66,93,78,4,2,0,0,0,0,0,3,4,1,1,1,Low,0
Mina,centre back,Venezuela,7,90,0,0,0,0,0,47,92,58,4,2,0,1,0,0,0,5,3,1,1,2,Moderate,0
Muñoz,right back,Venezuela,7,90,0,0,0,0,0,48,86,81,4,2,1,1,0,2,1,7,2,0,2,4,Moderate,1
Machado,left back,Venezuela,7,90,0,0,0,0,0,28,82,58,4,2,1,0,0,2,1,5,2,0,1,3,Low,1
Arias,central midfielder,Venezuela,7,75,0,0,0,0,0,16,94,31,3,3,1,1,0,2,1,3,0,0,1,1,Low,0
Lerma,central midfielder,Venezuela,7,90,0,0,0,0,0,45,88,64,4,3,1,1,0,1,1,7,2,1,2,3,Moderate,1
M Uribe,central midfielder,Venezuela,7,85,0,0,0,0,0,43,91,58,4,3,1,1,0,0,0,5,1,1,1,3,Low,1
Cuadrado,right wing,Venezuela,7,45,0,0,0,0,0,28,80,44,4,2,1,0,0,3,1,3,0,0,0,1,Low,1
Díaz,left wing,Venezuela,7,88,0,0,0,0,0,28,82,58,1,0,1,3,1,7,3,6,0,0,1,1,Moderate,0
Borré,centre forward,Venezuela,7,75,0,0,1,0,0,7,70,20,0,0,0,1,1,0,0,3,0,0,0,1,Low,0
Carrascal,right wing,Venezuela,7,45,0,0,0,0,0,28,90,43,3,2,2,1,1,3,2,5,0,0,1,1,Low,1
Vargas,goal keeper,Chile,8,90,0,0,0,0,5,21,66,44,18,7,0,0,0,0,0,1,2,0,0,0,Low,0
Lucumí,centre back,Chile,7,90,0,0,0,0,0,58,94,71,4,2,0,0,0,0,0,5,6,2,3,2,Moderate,0
Mina,centre back,Chile,7,23,0,0,0,0,0,9,82,15,1,0,0,0,0,0,0,1,2,0,1,0,Low,0
Muñoz,right back,Chile,7,90,0,0,0,0,0,28,80,58,4,2,1,1,0,2,1,7,3,0,2,4,Low,1
Machado,left back,Chile,7,71,0,0,0,0,0,21,84,39,1,0,0,0,0,1,1,4,1,0,1,2,Low,1
Carrascal,central midfielder,Chile,7,58,1,0,0,0,0,21,84,43,2,1,1,1,0,4,2,5,0,0,1,1,Low,1
Lerma,central midfielder,Chile,7,90,0,0,0,0,0,31,84,54,4,2,1,1,0,0,0,7,2,1,3,4,Moderate,1
M Uribe,central midfielder,Chile,7,90,0,0,0,0,0,28,82,49,3,2,0,1,0,0,0,5,2,1,1,2,Low,1
J Arias,right wing,Chile,7,71,1,0,0,0,0,21,84,39,1,1,1,1,0,2,1,5,0,0,1,2,Low,1
Díaz,left wing,Chile,7,71,0,0,0,0,0,15,71,39,0,0,1,1,0,6,2,5,0,0,0,1,Moderate,1
Borré,centre forward,Chile,7,58,0,0,0,0,0,7,70,21,0,0,0,1,0,0,0,2,1,0,0,0,Low,0
D Sánchez,centre back,Chile,7,67,0,0,0,0,0,28,85,41,3,1,0,0,0,0,0,5,4,1,2,2,Moderate,0
Vargas,goal keeper,Uruguay,6,87,1,1,0,0,3,15,58,35,16,5,0,0,0,0,0,1,1,0,0,1,Low,0
D Sánchez,centre back,Uruguay,6,90,0,0,0,0,0,41,85,58,6,3,0,1,0,0,0,5,3,1,1,2,Moderate,1
Cuesta,centre back,Uruguay,7,90,0,0,0,0,0,51,91,64,4,2,0,0,0,0,0,5,3,1,1,2,Moderate,0
S Arias,right back,Uruguay,8,90,0,0,0,1,0,51,85,81,4,2,2,0,0,1,1,5,2,0,2,2,Low,1
Fabra,left back,Uruguay,7,90,0,0,0,0,0,36,84,58,2,0,1,0,0,1,1,5,1,1,1,2,Low,1
Barrios,defensive midfielder,Uruguay,6,90,0,0,0,0,0,31,89,44,2,1,0,0,0,0,0,5,1,0,2,3,Low,1
M Uribe,defensive midfielder,Uruguay,8,67,0,0,1,0,0,21,84,36,1,0,0,2,1,0,0,4,1,0,1,2,Low,1
J Arias,attacking midfielder,Uruguay,7,90,0,0,0,0,0,28,85,54,2,1,3,2,0,5,2,7,1,0,1,2,Low,1
Borré,right wing,Uruguay,7,80,0,0,0,0,0,11,85,27,0,0,1,2,1,0,0,3,0,0,0,1,Low,0
Díaz,left wing,Uruguay,6,90,0,0,0,0,0,18,82,44,0,0,1,3,1,6,2,5,0,0,1,1,Low,1
J Rodríguez,centre forward,Uruguay,8,81,0,0,1,1,0,43,84,68,7,5,4,3,1,1,1,5,0,0,0,1,Low,1
Montero,goal keeper,Ecuador,8,90,0,0,0,0,3,15,58,39,19,8,0,0,0,0,0,1,2,0,0,0,Low,0
D Sánchez,centre back,Ecuador,7,90,1,0,0,0,0,28,78,49,6,3,0,0,0,0,0,7,5,1,2,2,Moderate,0
Cuesta,centre back,Ecuador,7,90,1,0,0,0,0,28,85,44,3,1,0,1,0,0,0,5,6,1,2,2,Moderate,0
Mosquera,right back,Ecuador,7,86,1,0,0,0,0,26,84,44,3,1,0,0,0,0,0,5,4,1,2,3,Moderate,1
Machado,left back,Ecuador,7,90,0,0,0,0,0,21,75,49,3,1,0,0,0,1,0,4,3,1,2,1,Low,1
Castaño,defensive midfielder,Ecuador,6,88,0,0,0,0,0,27,84,41,2,1,0,0,0,0,0,4,1,1,2,2,Low,1
