Countries,Overall Squad ratings_diff,Top 11 Squad ratings_diff,Squad_depth_60_diff,Squad_depth_45_diff,Squad_depth_avg_per_match_diff,Squad_depth_ratings_diff,Squad_depth_rating_15_diff,Squad_depth_index_diff,xg_per_90_diff,xga_per_90_diff,ppda_per_90_diff,Elo_ratings_diff,Attack Goals per 90_diff,Attack Assists per 90_diff,Attack Contributions per 90_diff,Attack Shots per 90_diff,Attack Key Passes per 90_diff,Attack Dribbles per 90_diff,Attack Rating_diff,Midfield Goals per 90_diff,Midfield Assists per 90_diff,Midfield Contributions per 90_diff,Midfield Touches per 90_diff,Midfield Key Passes per 90_diff,Midfield Dribbles per 90_diff,Midfield Defense per 90_diff,Midfield Tackles per 90_diff,Midfield Interceptions per 90_diff,Midfield Pass Accuracy_diff,Midfield Rating_diff,Defense Goals per 90_diff,Defense Assists per 90_diff,Defense Contributions per 90_diff,Defense Duels per 90_diff,Defense Clearances per 90_diff,Defense Blocks per 90_diff,Defense Take-ons Conceded per 90_diff,Defense Tackles per 90_diff,Defense Interceptions per 90_diff,Defense Duels Won Pct_diff,Defense Cards per 90_diff,Defense Rating_diff
Argentina,0.5,0.40000000000000036,3,2,0.0,0.0,0.0,11.0,-0.30000000000000004,0.06999999999999995,0.1999999999999993,-157.74,0.046577284843027755,0.07081262004590405,0.11738990488893186,0.3317211505893689,0.8200252872160714,0.33404054790370674,0.08999999999999986,0.383948316700531,0.2143835385772499,0.598331855277781,-2.894444382079243,1.0124212795096599,0.38855086943343686,-0.43064738833196703,-0.4103568662228758,-0.02029052210909188,4.6299999999999955,0.3799999999999999,0.07354923962503165,0.1213627388397741,0.19491197846480568,0.6319325560543287,-0.5888484590932856,-0.09572440030656326,-0.2979523419830409,-0.04443148959396259,-0.18044238850325955,0.04999999999999993,-0.31000000000000005,0.5300000000000002
France,0.1999999999999993,0.7000000000000002,0,1,1.0,0.0,0.0,28.0,-0.7000000000000002,0.16999999999999993,2.5,-160.25,-0.3511301598035024,0.009844770835612138,-0.3412853889678902,-0.9567327293881327,0.02849017014548405,-1.4296546374837162,-0.3799999999999999,0.3635420769703788,0.1741340761542581,0.537676153124637,1.1805978650510411,-0.40108929436735075,-1.1571060588456996,-1.0909662811819008,-0.4736900271756843,-0.6172762540062173,0.7000000000000028,-0.010000000000000675,0.13240161824200075,-0.003353511906692308,0.1290481063353084,0.5546957101958494,0.3262687625886076,0.22164229620342446,-0.11176820470499102,0.6102460139094839,0.2950624712346652,0.020000000000000018,-0.010000000000000002,0.28000000000000025
England,0.09999999999999964,0.5,0,1,-1.0,0.0,0.0,11.0,-0.4500000000000002,0.22999999999999998,1.799999999999999,-108.90000000000009,-0.11958936263973452,0.18221695610335178,0.06262759346361724,-0.012141052044642997,0.52257111508818,-0.2063978847589325,-0.009999999999999787,0.33471827701700085,0.10662653156399707,0.4413448085809981,-1.0613897485903294,0.4309577309534913,-0.6170772035443255,-0.18611947259083372,0.10577860685971086,-0.2918980794505448,0.45000000000000284,-0.08000000000000007,0.003044809043294322,0.06848441590347111,0.07152922494676536,0.9778356667398356,0.513645013061359,0.11376405663714861,-0.03005559551720588,0.4105377880757397,0.2975349336994153,0.010000000000000009,-0.03,0.0600000000000005
Brazil,0.7999999999999998,0.40000000000000036,-14,-13,11.0,1.0,0.0,-28.0,-0.20000000000000018,-0.19999999999999996,-0.09999999999999964,-44.090000000000146,0.299760066655112,0.23980805332408955,0.5395681199792015,0.6103735150339438,1.1033331732385576,-0.05149483276708522,0.7199999999999998,0.241252599350537,0.18994714774751956,0.4311997470980566,5.9293421359193275,0.951891592460506,0.023405030776503466,-0.06078927448271543,-0.3347470448852614,0.2739577704025451,3.530000000000001,0.5499999999999998,0.10377566404352746,0.15118904570326427,0.2549647097467917,1.578301828523621,0.3150170976644424,0.012560045369172101,-0.4016529847917819,0.43666424285982997,0.342700785257265,0.07999999999999996,-0.11000000000000001,0.7400000000000002
Portugal,0.39999999999999947,0.40000000000000036,11,11,-15.0,0.0,0.0,55.0,-0.3999999999999999,0.029999999999999916,0.7999999999999989,-46.75999999999999,-0.1184041244692432,-0.03209281940838005,-0.15049694387762313,-0.331531548513881,0.7858499413281055,0.11031023058761424,0.20000000000000018,0.047954012102393806,0.2258034544871468,0.2737574665895407,-10.139726002763354,-0.4290685232861686,0.12893635004031134,0.317575445148103,0.18117625197435672,0.13639919317374627,-0.3299999999999983,0.1299999999999999,-0.0006688598260130574,-0.056282107310855395,-0.056950967136868536,0.3247559160107816,0.20840693359309492,0.1515701620362777,-0.21119656847719834,0.4315287833584771,0.09127489576934389,0.030000000000000027,-0.1,0.33999999999999986
Netherlands,0.09999999999999964,-0.29999999999999893,5,6,-5.0,0.0,0.0,30.0,-0.6299999999999999,0.0,3.4000000000000004,-40.799999999999955,-0.22343502620183953,0.04065269005935107,-0.1827823361424885,-0.1319664735682995,-0.3401309461437836,-0.7007688012959332,-0.5,0.2112910490140404,0.12512973152916754,0.33642078054320795,-4.075234495858396,0.47819531204104426,-0.5249965731294184,0.08772788689368882,-0.011553449390016901,0.0992813362837055,-1.3100000000000023,0.10999999999999943,-0.035446199736365536,0.031223768419807896,-0.0042224313165576954,0.4190948276039457,-0.03753272281384579,0.02324806482186581,0.06573165008582729,0.8054596393593698,0.4460467795455989,-0.010000000000000009,-0.04000000000000001,0.35000000000000053
Belgium,0.0,0.8000000000000007,5,6,-7.0,0.0,0.0,47.0,-0.20000000000000018,-0.10000000000000009,1.4000000000000004,-17.6400000000001,-0.07462359464375734,-0.07911635144316126,-0.15373994608691843,0.11144228451204286,-0.17894321593723284,-1.7219860176642046,-0.20000000000000018,-0.08927090818639105,0.06453485158366035,-0.024736056602730594,-2.904206511525075,-0.47862196672378543,0.13473550384168909,-0.10654469073019701,-0.3248162069537339,0.21827151622353647,1.210000000000008,-0.23000000000000043,-0.06700753980822083,-0.06714199492275758,-0.13414953473097846,0.6404952728841247,-0.010756409162939295,0.1632162858553764,-0.1998125233938318,0.2229632494786129,0.25902166655892156,0.030000000000000027,-0.1,0.07000000000000028
Germany,0.39999999999999947,1.4000000000000004,10,10,-8.0,0.0,1.0,84.0,-0.5,-0.30000000000000004,2.1999999999999993,-13.299999999999955,-0.10330475573627873,-0.052083532942164,-0.15538828867844257,0.19971103028816506,-0.21092106221280282,0.14805865242002558,-0.020000000000000462,0.27810215396692994,0.19765958490751187,0.4757617388744419,-4.233747117413287,0.30572592120111874,-0.13556744026299028,0.3218438741965559,0.1747215543888916,0.1471223198076641,2.1700000000000017,0.34999999999999964,-0.04850290437106458,-0.015402499810564407,-0.06390540418162904,0.7570677957644047,-0.02030934370269888,-0.1310875820810562,-0.2172817008913638,0.3480532489590278,0.1504321903744541,0.040000000000000036,-0.15,0.4500000000000002
Spain,0.1999999999999993,0.8000000000000007,8,9,-9.0,0.0,0.0,56.0,-0.8999999999999999,0.09999999999999998,2.799999999999999,-159.33000000000015,-0.1317581714131696,-0.1693724219919429,-0.3011305934051125,-0.3049569950954676,0.0448338764096321,-0.818597274831903,-0.15000000000000036,-0.11089153093424287,0.21795811685207025,0.10706658591782747,-18.332738341886355,-0.006502406527906235,-0.003442450514774098,-0.20702514901348268,-0.1375067733401334,-0.06951837567334973,-1.3299999999999983,-0.20000000000000018,0.08950362014857845,-0.006089969571188292,0.08341365057739009,0.5100270630254,-0.4406234978863912,-0.043955065350597344,-0.1580867748790333,0.32412521987174214,0.18669069931572868,0.030000000000000027,-0.06,0.3799999999999999
Morocco,0.1999999999999993,0.8000000000000007,1,2,-2.0,0.0,0.0,33.0,0.09999999999999987,0.09999999999999998,-0.3000000000000007,-38.799999999999955,-0.12419008454950231,0.21183107660675146,0.08764099205724918,0.060695640084732494,0.5946087344648066,-0.511934248219192,0.04999999999999982,0.21433949276141717,0.21634005205756446,0.4306795448189817,4.507217071439314,0.365005270290619,-0.6830296642071978,-0.4953642953944106,-0.2536838255856475,-0.2416804698087638,1.2399999999999949,0.10999999999999943,0.067792860165906,-0.0929330095018781,-0.02514014933597214,0.014067077889315271,-0.4208836437744865,-0.01479181754408554,-0.029916302470688966,0.21883573280683866,-0.21783773065928602,0.0,-0.1,0.0
