players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
Baturina,attacking midfielder,69.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Croatia
Baturina,right wing,65.0,7.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,Croatia
Bradarić,left back,90.0,8.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,5.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,Croatia
Budimir,centre forward,61.6,6.8,0.4,0.2,1.0,2.0,0.0,0.0,0.8,5.0,0.0,0.2,0.0,0.6,0.2,0.2,0.6,0.0,0.0,Croatia
Caleta-Car,centre back,81.0,7.17,0.0,0.0,0.33,1.0,4.83,3.0,0.33,5.33,0.17,1.33,1.33,2.83,1.0,0.0,0.0,0.0,0.0,Croatia
Erlić,centre back,90.0,8.0,1.0,0.0,1.0,1.0,4.0,3.0,0.0,6.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,Croatia
Fruk,left wing,85.0,8.0,0.5,0.0,2.0,6.0,2.5,1.5,3.5,5.0,1.0,1.0,1.0,0.0,0.0,2.5,6.5,0.0,0.0,Croatia
Gvardiol,centre back,90.0,9.0,1.0,0.0,1.0,2.0,5.0,4.0,1.0,10.0,0.0,3.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,Croatia
Gvardiol,left back,74.33,6.67,0.0,0.33,0.33,0.67,4.0,2.0,1.0,5.0,0.33,2.33,1.67,2.0,0.67,1.0,1.33,0.0,0.0,Croatia
Ivanović,central forward,45.0,9.0,2.0,1.0,3.0,3.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Croatia
Ivanović,centre forward,65.5,7.0,0.0,0.0,1.0,3.5,0.0,0.0,1.0,4.5,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,Croatia
Ivanović,right wing,55.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Croatia
Jakić,right back,87.5,8.25,0.5,0.25,0.5,1.5,4.0,2.0,1.0,9.25,0.25,5.0,1.75,2.25,0.5,1.25,1.75,0.0,0.0,Croatia
Juranović,left back,90.0,8.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Croatia
Kotarski,goal keeper,90.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Croatia
Kovacić,defensive midfielder,69.0,7.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,Croatia
Kramarić,attacking midfielder,75.33,7.5,1.0,0.17,1.83,3.83,0.83,0.67,1.5,2.83,0.67,0.17,0.5,0.0,0.0,0.83,1.33,0.17,0.0,Croatia
L Sucić,defensive midfielder,45.0,7.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Croatia
L Sucić,right wing,64.0,7.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Croatia
Livaković,goal keeper,90.0,7.29,0.0,0.0,0.0,0.0,7.0,3.43,0.0,0.57,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,Croatia
Majer,attacking midfielder,19.0,8.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Croatia
Majer,defensive midfielder,77.0,8.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,Croatia
Majer,right wing,90.0,8.0,0.0,1.0,2.0,5.0,4.0,3.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,Croatia
Marco Pasalić,right wingback,62.0,7.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,Croatia
Mario Pasalić,attacking midfielder,71.0,9.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Croatia
Mario Pasalić,defensive midfielder,71.67,7.0,0.0,0.0,0.33,1.33,2.0,1.33,0.67,4.67,0.33,1.67,1.0,1.0,0.67,0.33,0.33,0.33,0.0,Croatia
Mario Pasalić,left wing,62.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Croatia
Mario Pasalić,right back,90.0,9.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Croatia
Mario Pasalić,right wing,61.0,7.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Croatia
Modrić,defensive midfielder,82.75,8.0,0.25,0.75,0.5,1.5,7.5,6.0,3.25,5.0,0.5,1.75,1.75,0.75,0.0,1.25,1.5,0.0,0.0,Croatia
