players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
Anderson,defensive midfielder,90.0,8.0,0.0,0.0,0.25,1.25,2.75,2.0,1.0,7.0,0.25,3.0,2.25,0.5,0.0,0.75,1.25,0.0,0.0,England
Bellingham,attacking midfielder,90.0,8.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,7.0,1.0,2.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,England
Bellingham,central midfielder,84.0,8.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,7.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,England
Bellingham,defensive midfielder,78.5,7.5,0.0,0.0,1.5,2.0,1.5,1.5,1.0,6.0,0.5,1.5,1.0,0.0,0.0,1.5,2.5,0.5,0.0,England
Bowen,right wing,55.33,6.67,0.0,0.33,0.33,1.0,1.33,1.0,1.33,3.0,0.0,1.33,0.67,0.0,0.0,0.33,1.33,0.0,0.0,England
Burn,centre back,90.0,7.5,0.0,0.0,0.25,0.75,4.75,3.0,0.5,5.5,0.25,2.75,1.5,3.0,1.0,0.0,0.0,0.25,0.0,England
D Henderson,goal keeper,90.0,8.0,0.0,0.0,0.0,0.0,34.0,6.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,England
Eze,attacking midfielder,54.0,7.5,0.5,0.0,2.0,2.5,1.0,0.5,1.5,4.0,0.5,0.5,0.5,0.0,0.0,2.5,3.5,0.0,0.0,England
Eze,left wing,43.0,7.0,0.5,0.0,1.5,2.0,0.5,0.5,0.5,2.5,0.5,0.5,0.0,0.0,0.0,1.5,2.5,0.0,0.0,England
Eze,right wing,29.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,England
Foden,forward,25.0,8.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,England
Foden,right wing,74.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
Gordon,left wing,70.0,8.0,0.5,0.0,1.5,3.0,0.5,0.5,2.0,4.5,0.0,1.0,0.5,1.0,0.0,2.5,4.5,0.5,0.0,England
Guéhi,centre back,85.33,7.33,0.33,0.33,0.33,1.0,3.67,2.33,0.33,5.0,0.0,2.0,1.67,3.0,0.67,0.0,0.0,0.0,0.0,England
Henderson,defensive midfielder,64.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,England
James,left back,90.0,8.0,0.0,0.0,0.0,1.0,7.0,4.0,1.0,6.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,England
James,right back,79.25,7.75,0.25,0.25,0.5,0.75,5.25,3.0,1.25,4.5,0.25,1.75,0.75,1.25,0.5,1.0,1.75,0.0,0.0,England
Jones,defensive midfielder,74.0,7.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,England
Jones,right back,80.0,8.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,England
Kane,centre forward,84.43,7.57,1.0,0.0,1.86,3.57,1.43,1.14,0.57,3.86,0.0,0.14,0.0,0.57,0.0,0.43,0.57,0.0,0.0,England
Kane,forward,90.0,8.0,1.0,0.0,2.0,5.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,England
Konsa,centre back,90.0,7.5,0.17,0.0,0.33,0.5,4.5,2.83,0.17,5.0,0.0,1.33,1.5,2.83,0.83,0.33,0.33,0.17,0.0,England
Lewis-Skelly,left back,87.25,7.0,0.25,0.0,0.25,0.25,2.25,0.75,0.75,3.75,0.0,1.25,1.0,0.75,0.0,1.5,2.25,0.0,0.0,England
Livramento,left back,90.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,6.0,0.0,3.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,England
Madueke,left wing,90.0,8.0,0.0,1.0,2.0,3.0,1.0,1.0,4.0,8.0,1.0,1.0,1.0,0.0,0.0,5.0,7.0,0.0,0.0,England
Madueke,right wing,83.0,8.0,0.5,0.0,0.5,2.0,0.5,0.5,3.0,6.0,0.0,0.5,0.5,0.0,0.0,3.0,5.0,0.0,0.0,England
O'Reilly,left back,90.0,7.0,0.0,0.0,0.5,1.0,3.0,2.0,1.0,5.0,1.0,2.5,1.5,1.5,0.5,1.0,2.0,0.0,0.0,England
Palmer,attacking midfielder,64.0,7.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,England
Pickford,goal keeper,90.0,6.86,0.0,0.0,0.0,0.0,5.86,2.86,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,England
Quansah,right back,90.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,England
Rashford,left wing,53.5,7.33,0.17,0.17,0.67,1.67,0.5,0.17,1.67,2.33,0.5,0.5,0.0,0.0,0.0,1.33,2.5,0.0,0.0,England
Rice,central midfielder,62.0,7.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,England
Rice,defensive midfielder,72.67,7.83,0.33,0.5,0.83,1.83,3.67,3.0,2.0,4.67,0.0,2.0,1.33,0.83,0.67,0.67,0.67,0.0,0.0,England
Rogers,attacking midfielder,70.0,7.5,0.0,0.25,0.75,2.25,1.25,0.75,1.25,5.25,0.25,0.75,0.75,1.0,0.0,3.5,4.25,0.0,0.0,England
Rogers,right wing,80.0,7.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,England
Saka,right wing,75.0,7.5,0.5,0.5,1.0,2.0,3.5,0.5,2.0,4.5,0.5,1.0,1.0,0.0,0.0,2.5,4.5,0.0,0.0,England
Spence,right back,90.0,8.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,8.0,0.0,2.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,England
Stones,centre back,83.67,7.67,0.0,0.33,0.0,0.0,5.33,4.0,0.33,4.0,0.0,2.33,2.0,2.67,1.0,0.33,0.33,0.0,0.0,England
Walker,right back,90.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,England
Wharton,central midfielder,75.0,7.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,England
