current,former,start_date,end_date
Benin,Dahomey,08-11-1959,30-11-1975
Burkina Faso,Upper Volta,14-04-1960,04-08-1984
Curaçao,Netherlands Antilles,03-03-1957,10-10-2010
Czechoslovakia,Bohemia,05-04-1903,01-01-1919
Czechoslovakia,Bohemia and Moravia,01-01-1939,01-05-1945
Czechoslovakia,Representation of Czechs and Slovaks,24-03-1993,17-11-1993
DR Congo,Belgian Congo,25-05-1948,02-01-1956
DR Congo,Congo-Léopoldville,12-04-1963,19-07-1964
DR Congo,Congo-Kinshasa,09-01-1965,24-11-1970
DR Congo,Zaïre,10-01-1971,27-04-1997
Djibouti,French Somaliland,05-12-1947,27-06-1977
Egypt,United Arab Republic,22-02-1958,11-09-1971
Eswatini,Swaziland,01-05-1968,19-04-2018
Ghana,Gold Coast,28-05-1950,06-03-1957
Guinea-Bissau,Portuguese Guinea,02-06-1953,24-09-1973
Guyana,British Guiana,21-07-1905,02-08-1967
Indonesia,Dutch East Indies,13-05-1934,04-03-1951
Israel,Mandatory Palestine,16-03-1934,27-04-1940
Malawi,Nyasaland,28-08-1957,04-07-1964
Malaysia,Malaya,20-06-1948,16-08-1963
Myanmar,Burma,14-03-1952,01-01-1989
North Macedonia,Macedonia,13-10-1993,19-11-2018
Northern Ireland,Ireland,1882-02-18,11-04-1956
Republic of Ireland,Irish Free State,28-05-1924,06-12-1936
Republic of Ireland,Éire,01-01-1937,25-03-1953
Russia,Soviet Union,16-11-1924,13-11-1991
Russia,CIS,25-01-1992,18-06-1992
Samoa,Western Samoa,31-08-1979,15-11-1996
Serbia,FR Yugoslavia,23-12-1994,03-02-2003
Serbia,Serbia and Montenegro,04-02-2003,21-06-2006
Sri Lanka,Ceylon,24-03-1952,22-05-1972
Suriname,Dutch Guyana,28-01-1921,25-11-1975
Tanzania,Tanganyika,01-01-1945,26-04-1964
Vanuatu,New Hebrides,04-10-1951,30-07-1980
Zambia,Northern Rhodesia,22-02-1947,25-10-1964
Zimbabwe,Southern Rhodesia,16-06-1946,18-04-1980
