players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
Adli,left wing,72.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Morocco
Aguerd,centre back,90.0,7.71,0.14,0.29,0.14,1.0,7.14,4.71,0.43,6.14,0.0,2.0,2.29,4.0,1.0,0.0,0.0,0.14,0.0,Morocco
Amrabat,central midfielder,86.0,7.0,0.0,0.0,0.0,0.33,5.0,3.67,0.33,5.33,0.67,2.67,1.67,1.33,0.67,0.33,0.33,0.33,0.0,Morocco
Amrabat,defensive midfielder,90.0,7.0,0.0,0.0,0.0,0.33,5.0,3.67,0.67,6.0,0.0,3.0,2.0,1.0,1.0,0.67,0.67,0.33,0.0,Morocco
Attiyat Allah,left back,90.0,7.0,0.0,0.0,0.0,0.0,3.5,2.0,1.0,5.5,0.5,2.5,2.0,2.0,1.0,1.0,1.5,0.0,0.0,Morocco
Belammari,left back,82.33,7.33,0.0,0.67,0.0,0.0,4.0,2.33,1.67,5.0,0.0,2.0,1.33,2.0,0.33,0.67,1.0,0.0,0.0,Morocco
Ben Seghir,central midfielder,50.5,7.0,0.0,0.0,0.5,1.5,1.5,1.0,1.5,5.0,0.5,1.0,1.0,0.0,0.0,2.5,4.5,0.0,0.0,Morocco
Ben Seghir,left wing,69.75,7.5,0.25,0.25,1.0,2.25,1.0,1.0,1.75,5.25,0.25,1.25,1.0,0.0,0.0,2.25,4.0,0.25,0.0,Morocco
Bonou,goal keeper,90.0,7.0,0.0,0.0,0.0,0.0,7.0,3.75,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12,0.0,Morocco
Chibi,right back,90.0,7.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,5.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,Morocco
Díaz,attacking midfielder,90.0,8.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,7.0,1.0,1.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,Morocco
Díaz,right wing,80.0,7.4,0.2,0.4,1.2,2.6,2.0,1.0,3.2,6.8,0.8,1.4,1.0,0.0,0.0,3.4,5.6,0.0,0.0,Morocco
El Aynaoui,attacking midfielder,90.0,7.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,5.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,Morocco
El Aynaoui,central midfielder,90.0,7.0,0.0,0.0,0.0,1.0,4.5,3.5,1.5,7.0,0.0,3.0,1.5,1.5,1.0,1.0,1.0,0.0,0.0,Morocco
El Azzouzi,defensive midfielder,90.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,Morocco
El Kaabi,centre forward,64.0,9.0,2.0,0.0,3.0,4.0,0.0,0.0,1.0,3.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Morocco
El Karouani,left back,90.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Morocco
El Khannouss,attacking midfielder,60.0,7.5,0.5,0.0,0.5,1.0,2.5,1.5,2.0,4.5,0.5,1.5,1.0,0.0,0.0,1.5,2.5,0.0,0.0,Morocco
El Khannouss,central midfielder,78.0,7.0,0.0,0.0,0.0,1.0,3.0,2.0,2.5,5.0,0.5,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,Morocco
El Yamiq,centre back,83.5,7.25,0.0,0.0,0.0,0.75,4.75,2.75,0.0,5.25,0.0,1.75,2.0,4.25,1.0,0.0,0.0,0.0,0.0,Morocco
En-Nesyri,centre forward,69.67,7.0,0.33,0.0,0.5,2.17,0.0,0.0,0.5,4.33,0.0,0.0,0.0,1.17,0.0,0.17,0.83,0.0,0.0,Morocco
