players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
A Mendy,right back,90.0,7.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,7.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,Senegal
Camara,attacking midfielder,73.0,7.0,0.0,0.0,0.0,2.0,5.0,3.0,2.0,5.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,Senegal
Camara,central midfielder,86.5,7.5,0.5,0.0,1.0,2.0,4.5,3.0,1.5,6.0,0.0,2.5,1.5,1.0,0.0,1.5,1.5,0.0,0.0,Senegal
Dia,centre forward,79.0,7.0,0.0,0.0,1.0,2.5,0.0,0.0,0.5,3.5,0.0,0.5,0.0,0.5,0.0,0.5,1.5,0.5,0.0,Senegal
Diallo,centre forward,74.33,7.67,0.33,0.67,1.33,2.67,0.67,0.0,1.33,4.33,0.0,0.0,0.33,1.0,0.0,1.0,1.0,0.0,0.0,Senegal
Diallo,right wing,79.0,7.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Senegal
Diao,right wing,90.0,7.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,7.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,Senegal
Diarra,central midfielder,59.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Senegal
Diarra,left midfielder,62.0,7.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,Senegal
Diarra,right midfielder,45.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Senegal
Diatta,left back,90.0,7.0,0.0,0.0,0.0,1.0,6.0,3.0,2.0,7.0,0.0,4.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,Senegal
Diatta,left midfielder,90.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,6.0,0.0,3.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,Senegal
Diatta,right back,85.5,7.0,0.0,0.33,0.0,0.83,4.33,2.5,1.67,6.17,0.33,2.67,2.0,1.5,0.33,1.5,2.67,0.0,0.0,Senegal
Diaw,goal keeper,90.0,7.0,0.0,0.0,4.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Senegal
Diouf,left back,80.75,7.25,0.0,0.0,0.0,0.75,4.25,2.25,1.25,5.5,0.25,2.5,1.75,2.25,0.75,1.25,2.0,0.0,0.0,Senegal
E Mendy,goal keeper,90.0,7.12,0.0,0.0,0.0,0.0,8.25,4.12,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12,0.0,Senegal
F Mendy,centre back,45.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Senegal
Gueye,central midfielder,80.67,7.0,0.0,0.33,0.0,1.0,3.33,2.33,1.33,6.0,0.33,3.0,2.33,1.33,0.67,1.0,1.0,0.33,0.0,Senegal
Gueye,right midfielder,68.0,7.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,Senegal
I Camara,left back,84.0,7.0,0.0,0.0,0.0,2.0,5.0,4.0,2.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,Senegal
I Gueye,central midfielder,90.0,7.5,0.0,0.0,0.0,0.5,3.5,2.5,1.0,7.5,0.5,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,Senegal
I Gueye,defensive midfielder,83.33,7.33,0.0,0.0,0.0,0.0,3.33,2.33,1.0,6.0,0.0,3.0,2.67,1.0,0.33,0.67,0.67,0.0,0.0,Senegal
I Ndiaye,attacking midfielder,71.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,Senegal
I Sarr,left wing,77.0,7.0,0.0,0.5,1.0,2.0,2.0,1.0,2.0,5.0,0.5,1.0,1.0,0.0,0.0,2.5,4.0,0.0,0.0,Senegal
I Sarr,right midfielder,90.0,8.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,7.0,0.0,2.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,Senegal
I Sarr,right wing,77.33,7.67,0.67,0.0,1.33,2.67,1.67,0.67,2.0,5.67,0.67,1.33,1.0,0.33,0.0,2.33,4.33,0.0,0.0,Senegal
