Countries,Overall Squad ratings_diff,Top 11 Squad ratings,Squad_depth_60_diff,Squad_depth_45_diff,Squad_depth_avg_per_match_diff,Squad_depth_ratings_diff,Squad_depth_rating_15_diff,Squad_depth_index_diff,xg_per_90_diff,xga_per_90_diff,ppda_per_90_diff,Elo_ratings_diff,Attack Goals per 90_diff,Attack Assists per 90_diff,Attack Contributions per 90_diff,Attack Shots per 90_diff,Attack Key Passes per 90_diff,Attack Dribbles per 90_diff,Attack Rating_diff,Midfield Goals per 90_diff,Midfield Assists per 90_diff,Midfield Contributions per 90_diff,Midfield Touches per 90_diff,Midfield Key Passes per 90_diff,Midfield Dribbles per 90_diff,Midfield Defense per 90_diff,Midfield Tackles per 90_diff,Midfield Interceptions per 90_diff,Midfield Pass Accuracy_diff,Midfield Rating_diff,Defense Goals per 90_diff,Defense Assists per 90_diff,Defense Contributions per 90_diff,Defense Duels per 90_diff,Defense Clearances per 90_diff,Defense Blocks per 90_diff,Defense Take-ons Conceded per 90_diff,Defense Tackles per 90_diff,Defense Interceptions per 90_diff,Defense Duels Won Pct_diff,Defense Cards per 90_diff,Defense Rating_diff,Composite_Score
Uruguay,0.20000000000000018,0.1999999999999993,-11,-11,11.0,0.0,1.0,-66.0,0.7999999999999998,-0.20000000000000007,-4.0,207.9000000000001,0.45137432978562064,0.3246469386480627,0.7760212684336834,1.0576228243123893,1.4486444049923723,0.9465523547831671,0.47000000000000064,0.4299184301844662,0.04176328035390045,0.4716817105383666,35.85915359868117,1.2118678193921297,0.25039650984114914,-0.5453954704111346,-0.5806037998072324,0.035208329396098526,9.530000000000001,0.3899999999999997,0.014042595720866996,0.12830888881485625,0.14235148453572327,0.12422402012817901,-0.21528770893117644,0.021923503995163518,-0.1898707482140734,-0.37917759199665246,-0.12890030077959413,0.029999999999999916,-0.16,0.14000000000000057,25.790800000000015
Senegal,0.10000000000000053,0.0,-6,-6,8.0,0.0,1.0,-48.0,0.5999999999999999,-0.2500000000000001,-1.6999999999999993,198.4000000000001,0.2600721763238996,0.158147624233475,0.4182198005573745,0.5124015399294426,0.3689841447699145,0.17919080862482772,0.33000000000000007,0.28313893601130574,0.028686214680167563,0.31182515069147326,26.465456877667137,0.7957675894639522,-0.1526266544132957,-1.5561271944315647,-0.7447421100415634,-0.8113850843900017,3.8400000000000034,0.41000000000000014,0.015517407889589024,0.08945022176218936,0.10496762965177842,-0.6578258575901899,-0.30653732254892097,-0.3504402326755631,0.175246217949034,-0.4872909804722245,-0.606875512425382,-0.040000000000000036,0.039999999999999994,-0.10999999999999943,25.31790000000002
Colombia,0.20000000000000018,0.0,-14,-15,17.0,0.0,0.0,-88.0,0.6999999999999997,-0.09999999999999998,-3.299999999999999,191.4000000000001,0.16369731015253403,0.33771219452189594,0.50140950467443,0.5155404297195343,0.9153425865179596,0.8071695095948828,0.29000000000000004,0.5337083807067834,0.01632187090261779,0.5500302516094011,31.203035737338276,0.7185542685876309,0.31949432374043674,-0.47166847346801655,-0.2978531467117511,-0.1738153267562652,4.8700000000000045,0.5899999999999999,0.001024548961908657,0.10180291048783313,0.10282745944974181,-0.1629964257581955,-0.35892478243488446,-0.06530501694867141,-0.30092466652631483,-0.2858092428804935,-0.22933929749945015,0.039999999999999925,-0.04000000000000001,0.07000000000000028,22.36250000000002
Germany,0.20000000000000018,0.5999999999999996,2,1,1.0,0.0,1.0,28.0,0.3999999999999999,-0.4,-0.5999999999999996,146.0300000000002,0.02845341567689086,0.11728888904977891,0.14574230472666994,0.5046680253836326,-0.2557549386224349,0.9666559272519286,0.1299999999999999,0.3889936849011728,-0.020298531944558384,0.3686951529566144,14.098991224473068,0.312228327729025,-0.13212498974821618,0.5288690232100386,0.312228327729025,0.21664069548101383,3.5,0.5499999999999998,-0.13800652451964301,-0.009312530239376116,-0.14731905475901913,0.24704073273900473,0.42031415418369233,-0.08713251673045885,-0.05919492601233051,0.02392802908728564,-0.03625850894127458,0.010000000000000009,-0.09,0.07000000000000028,22.353500000000032
Belgium,-0.1999999999999993,0.0,-3,-3,2.0,0.0,0.0,-9.0,0.6999999999999997,-0.20000000000000007,-1.3999999999999986,141.69000000000005,0.05713457676941225,0.09025607054878165,0.14739064731819407,0.41639927960751044,-0.22377709234686494,-0.9033887428323015,-0.04999999999999982,0.021620622747851814,-0.1534232652684099,-0.13180264252055807,15.42853183036128,-0.4721195601958792,0.13817795435646318,0.10048045828328567,-0.18730943361360053,0.2877898918968862,2.5400000000000063,-0.03000000000000025,-0.15651115995679926,-0.06105202535156928,-0.21756318530836855,0.13046820985872465,0.4298670887234519,0.20717135120597374,-0.04172574851479849,-0.10116197039312924,0.07233096724319288,0.0,-0.04000000000000001,-0.3099999999999996,19.34530000000001
Croatia,-0.1999999999999993,-0.8000000000000007,-8,-9,9.0,0.0,0.0,-56.0,0.8999999999999999,-0.09999999999999998,-2.799999999999999,159.33000000000015,0.1317581714131696,0.1693724219919429,0.3011305934051125,0.3049569950954676,-0.0448338764096321,0.818597274831903,0.15000000000000036,0.11089153093424287,-0.21795811685207025,-0.10706658591782747,18.332738341886355,0.006502406527906235,0.003442450514774098,0.20702514901348268,0.1375067733401334,0.06951837567334973,1.3299999999999983,0.20000000000000018,-0.08950362014857845,0.006089969571188292,-0.08341365057739009,-0.5100270630254,0.4406234978863912,0.043955065350597344,0.1580867748790333,-0.32412521987174214,-0.18669069931572868,-0.030000000000000027,0.06,-0.3799999999999999,19.211000000000027
Morocco,0.0,0.0,-7,-7,7.0,0.0,0.0,-23.0,0.9999999999999998,0.0,-3.0999999999999996,120.5300000000002,0.007568086863667278,0.3812034985986944,0.3887715854623617,0.3656526351802001,0.5497748580551745,0.30666302661271105,0.20000000000000018,0.32523102369566004,-0.0016180647945057969,0.3236129589011542,22.83995541332567,0.37150767681852526,-0.6795872136924237,-0.28833914638092795,-0.11617705224551411,-0.17216209413541406,2.569999999999993,0.3099999999999996,-0.021710759982672453,-0.08684303993068981,-0.10855379991336223,-0.49595998513608475,0.01973985411190471,0.029163247806511805,0.12817047240834434,-0.10528948706490349,-0.4045284299750147,-0.030000000000000027,-0.04000000000000001,-0.3799999999999999,15.864800000000029
Portugal,0.20000000000000018,-0.40000000000000036,3,2,-6.0,0.0,0.0,-1.0,0.5,-0.07000000000000006,-2.0,112.57000000000016,0.01335404694392639,0.13727960258356287,0.15063364952748937,-0.026574553418413416,0.7410160649184734,0.9289075054195173,0.35000000000000053,0.15884554303663667,0.007845337635076555,0.16669088067171323,8.193012339123001,-0.4225661167582624,0.13237880055508544,0.5246005941615857,0.3186830253144901,0.205917568847096,1.0,0.33000000000000007,-0.0901724799745915,-0.0501921377396671,-0.14036461771425862,-0.18527114701461844,0.6490304314794861,0.19552522738687506,-0.053109793598165034,0.10740356348673497,-0.09541580354638479,0.0,-0.04000000000000001,-0.040000000000000036,15.528000000000025
Netherlands,-0.09999999999999964,-1.0999999999999996,-3,-3,4.0,0.0,0.0,-26.0,0.27,-0.09999999999999998,0.6000000000000014,118.5300000000002,-0.09167685478866994,0.21002511205129398,0.11834825726262399,0.1729905215271681,-0.3849648225534157,0.11782847353596981,-0.34999999999999964,0.32218257994828325,-0.09282838532290272,0.22935419462538048,14.257503846027959,0.4846977185689505,-0.5215541226146443,0.2947530359071715,0.1259533239501165,0.16879971195705523,0.01999999999999602,0.3099999999999996,-0.12494981988494398,0.03731373799099619,-0.08763608189394778,-0.09093223542145434,0.4030907750725454,0.06720313017246315,0.2238184249648606,0.4813344194876277,0.2593560802298702,-0.040000000000000036,0.01999999999999999,-0.02999999999999936,15.011900000000027
Brazil,0.6000000000000005,-0.40000000000000036,-22,-22,20.0,1.0,0.0,-84.0,0.6999999999999997,-0.29999999999999993,-2.8999999999999986,115.24000000000001,0.4315182380682816,0.40918047531603247,0.840698713384314,0.9153305101294114,1.0584992968289255,0.7671024420648178,0.8700000000000001,0.35214413028477987,-0.028010969104550698,0.3241331611802291,24.262080477805682,0.9583939989884123,0.026847481291277564,0.14623587453076725,-0.19724027154512802,0.34347614607589483,4.859999999999999,0.75,0.01427204389494902,0.15727901527445257,0.1715510591694016,1.068274765498221,0.7556405955508336,0.056515110719769446,-0.24356620991274863,0.11253902298808782,0.15601008594153631,0.04999999999999993,-0.05000000000000002,0.3600000000000003,12.153000000000002
