players,position,opponent,ratings,minutes,yellow card,red card,goals scored,assist,saves,passing completed,passing accuracy in %,touches,long balls,long balls completed,key passes,shots attempted,shots on target,dribbles attempt,dribbles completed,duels won,clearances,blocks,interceptions,tackles,ariel duels,take-ons conceeded
Simón,goal keeper,Bulgaria,6,90,0,0,0,0,30,30,93,35,0,0,0,0,0,0,0,0,0,0,0,0,Low,0
Huijsen,centre back,Bulgaria,8,90,0,0,0,0,0,97,94,116,7,6,1,2,0,1,1,4,4,1,1,1,Strong,0
Le Normand,centre back,Bulgaria,6,45,1,0,0,0,0,28,93,43,3,2,0,0,0,0,0,5,1,0,0,1,Strong,0
Porro,right back,Bulgaria,7,62,0,0,0,0,0,43,93,63,6,3,1,1,0,1,1,4,1,1,0,1,Moderate,0
Cucurella,left back,Bulgaria,7,90,0,0,1,0,0,43,95,92,0,0,0,2,1,2,1,6,5,1,2,4,Strong,0
Merino,central midfielder,Bulgaria,7,90,0,0,1,0,0,43,90,66,4,3,2,2,1,2,1,6,1,0,1,1,Strong,0
Pedri,central midfielder,Bulgaria,7,90,0,0,0,0,0,101,93,125,2,2,3,1,0,4,3,7,0,0,1,1,Low,1
Zubimendi,central midfielder,Bulgaria,7,62,0,0,0,1,0,89,93,83,7,7,2,1,0,0,0,7,2,0,3,2,Strong,0
Yamal,right wing,Bulgaria,9,79,0,0,0,1,0,45,82,84,0,0,3,5,2,9,7,8,0,0,0,0,Low,0
Williams,left wing,Bulgaria,6,71,0,0,0,0,0,30,88,38,0,0,2,3,1,3,2,5,0,0,0,0,Low,1
Oyarzabal,centre forward,Bulgaria,8,79,0,0,1,0,0,40,91,58,1,1,1,1,1,3,2,6,0,0,0,0,Low,0
Cubarsi,centre back,Bulgaria,6,45,0,0,0,0,0,40,94,60,5,3,0,0,0,0,0,4,2,0,1,1,Moderate,0
Simón,goal keeper,Turkiye,6,90,0,0,0,0,2,38,91,48,10,6,0,0,0,0,0,0,1,0,0,0,Low,0
Huijsen,centre back,Turkiye,6,90,0,0,0,0,0,65,88,94,8,4,0,0,0,0,0,3,9,4,1,2,Low,0
Le Normand,centre back,Turkiye,7,90,0,0,0,0,0,70,91,88,7,4,0,1,0,0,0,7,5,1,1,2,Strong,0
Porro,right back,Turkiye,7,90,0,0,0,0,0,38,85,67,6,4,3,0,0,1,1,5,4,0,1,4,Low,0
Cucurella,left back,Turkiye,7,90,0,0,0,0,0,43,90,73,5,3,1,0,0,1,1,9,5,0,2,4,Strong,0
Merino,central midfielder,Turkiye,10,90,0,0,3,0,0,38,86,59,0,0,2,4,3,0,0,4,0,0,0,3,Low,0
Pedri,central midfielder,Turkiye,10,68,0,0,2,0,0,49,91,78,3,2,3,4,3,5,3,5,0,0,0,0,Low,0
Zubimendi,central midfielder,Turkiye,8,73,0,0,0,0,0,48,94,59,0,0,2,0,0,0,0,3,0,0,0,2,Low,0
Yamal,right wing,Turkiye,8,73,0,0,0,2,0,23,85,52,1,1,4,3,1,10,8,13,0,0,0,0,Low,0
Williams,left wing,Turkiye,9,44,0,0,0,1,0,13,87,20,0,0,1,2,1,2,1,4,0,0,0,0,Low,0
Oyarzabal,centre forward,Turkiye,6,68,0,0,0,3,0,38,90,60,5,3,4,2,1,4,3,7,0,0,0,0,Moderate,0
Ferran Torres,centre forward,Turkiye,8,46,0,0,1,0,0,17,92,35,0,0,1,2,1,1,1,5,0,0,0,0,Low,0
Simón,goal keeper,Georgia,7,90,0,0,0,0,1,44,94,57,9,5,0,0,0,0,0,0,0,0,0,0,Low,0
Cubarsi,centre back,Georgia,7,90,0,0,0,0,0,123,98,129,9,7,0,0,0,0,0,7,5,1,2,2,Strong,0
Le Normand,centre back,Georgia,8,90,0,0,0,1,0,88,93,110,11,6,1,0,0,0,0,6,4,0,1,1,Strong,0
Porro,right back,Georgia,9,75,1,0,0,0,0,71,91,110,11,5,6,2,1,2,2,4,1,0,1,2,Low,0
Cucurella,left back,Georgia,7,90,0,0,0,0,0,68,91,90,5,3,3,0,0,1,1,7,2,1,2,3,Strong,1
Merino,central midfielder,Georgia,6,90,0,0,0,0,0,60,90,78,8,6,1,2,0,1,1,3,1,0,1,2,Moderate,0
Pedri,central midfielder,Georgia,7,75,0,0,0,0,0,75,88,95,4,3,4,1,0,4,3,6,0,0,2,3,Low,1
Zubimendi,central midfielder,Georgia,8,81,0,0,0,0,0,86,92,104,9,7,2,1,0,1,1,7,1,0,3,4,Moderate,0
Ferran Torres,right wing,Georgia,6,90,0,0,0,0,0,24,89,45,1,1,1,2,1,2,1,3,0,0,0,1,Low,0
Pino,left wing,Georgia,8,65,0,0,1,0,0,44,89,60,1,0,1,2,1,5,1,5,0,0,0,1,Low,0
Oyarzabal,centre forward,Georgia,8,65,0,0,1,0,0,18,86,32,2,1,2,4,2,2,1,5,0,0,1,1,Moderate,0
Simón,goal keeper,Bulgaria,7,90,0,0,0,0,0,27,93,34,9,7,0,0,0,0,0,0,1,0,0,0,Low,0
Laporte,centre back,Bulgaria,7,90,0,0,0,0,0,90,93,100,6,5,0,0,0,0,0,0,3,0,2,1,Moderate,0
Le Normand,centre back,Bulgaria,8,71,0,0,0,1,0,78,94,85,1,1,0,0,0,0,0,3,3,0,2,1,Moderate,0
Porro,right back,Bulgaria,7,90,0,0,0,0,0,64,91,92,6,4,2,1,0,3,2,7,1,1,2,3,Moderate,1
Grimaldo,left back,Bulgaria,8,90,0,0,0,1,0,74,95,101,2,2,3,1,0,2,0,8,1,0,1,2,Moderate,1
Merino,attacking midfielder,Bulgaria,10,90,0,0,2,0,0,58,92,82,3,2,2,4,3,1,1,9,1,0,1,2,Strong,1
Pedri,defensive midfielder,Bulgaria,8,66,0,0,0,0,0,101,94,118,6,5,4,2,0,2,1,5,0,0,1,2,Low,1
Zubimendi,defensive midfielder,Bulgaria,7,63,0,0,0,0,0,68,99,72,4,4,0,0,0,0,0,3,1,0,1,1,Low,0
Baena,left wing,Bulgaria,8,63,0,0,0,0,0,41,85,61,1,1,5,2,1,1,1,4,0,0,1,1,Low,0
Aghehowa,centre forward,Bulgaria,6,45,0,0,0,0,0,5,71,14,0,0,0,5,2,1,0,0,0,0,0,0,Low,0
Oyarzabal,right wing,Bulgaria,8,90,0,0,1,0,0,28,88,47,0,0,2,5,2,1,1,2,0,0,0,0,Low,0
Iglesias,centre forward,Bulgaria,7,45,0,0,0,0,0,9,75,18,0,0,0,3,1,1,0,2,0,0,0,0,Low,0
Simón,goal keeper,Georgia,7,90,0,0,0,0,2,24,92,31,4,3,0,0,0,0,0,0,1,0,0,0,Low,0
Cubarsi,centre back,Georgia,7,90,0,0,0,0,0,81,98,89,4,3,0,0,0,0,0,4,3,1,1,2,Moderate,0
Laporte,centre back,Georgia,8,90,0,0,0,0,0,78,92,94,6,4,0,1,0,0,0,5,4,1,2,1,Moderate,0
Porro,right back,Georgia,7,45,0,0,0,0,0,31,91,46,2,2,1,0,0,0,0,2,1,0,2,0,Moderate,0
Cucurella,left back,Georgia,7,90,0,0,0,0,0,39,89,56,1,1,0,0,0,0,0,3,1,1,0,1,Low,1
Merino,central midfielder,Georgia,7,62,1,0,0,0,0,42,89,56,2,1,1,2,0,0,0,5,1,0,1,1,Moderate,0
Ruiz,central midfielder,Georgia,8,62,0,0,0,1,0,54,92,68,4,3,2,1,0,1,1,4,1,0,1,2,Low,0
Zubimendi,central midfielder,Georgia,8,90,0,0,1,0,0,68,94,81,4,3,1,2,1,1,1,6,1,1,2,3,Moderate,0
