Countries,Overall Squad ratings_diff,Top 11 Squad ratings_diff,Squad_depth_60_diff,Squad_depth_45_diff,Squad_depth_avg_per_match_diff,Squad_depth_ratings_diff,Squad_depth_rating_15_diff,Squad_depth_index_diff,xg_per_90_diff,xga_per_90_diff,ppda_per_90_diff,Elo_ratings_diff,Attack Goals per 90_diff,Attack Assists per 90_diff,Attack Contributions per 90_diff,Attack Shots per 90_diff,Attack Key Passes per 90_diff,Attack Dribbles per 90_diff,Attack Rating_diff,Midfield Goals per 90_diff,Midfield Assists per 90_diff,Midfield Contributions per 90_diff,Midfield Touches per 90_diff,Midfield Key Passes per 90_diff,Midfield Dribbles per 90_diff,Midfield Defense per 90_diff,Midfield Tackles per 90_diff,Midfield Interceptions per 90_diff,Midfield Pass Accuracy_diff,Midfield Rating_diff,Defense Goals per 90_diff,Defense Assists per 90_diff,Defense Contributions per 90_diff,Defense Duels per 90_diff,Defense Clearances per 90_diff,Defense Blocks per 90_diff,Defense Take-ons Conceded per 90_diff,Defense Tackles per 90_diff,Defense Interceptions per 90_diff,Defense Duels Won Pct_diff,Defense Cards per 90_diff,Defense Rating_diff
Spain,0.09999999999999964,0.3000000000000007,8,8,-8.0,0.0,0.0,45.0,-0.44999999999999973,-0.13,1.0,-50.430000000000064,-0.01216880877343507,-0.35158937809529467,-0.36375818686872974,-0.2928159430508246,-0.4777372386785479,-0.6121993900729705,-0.14000000000000057,-0.4456098079512437,0.11133158528807319,-0.33427822266317064,-17.271348593296025,-0.43746013748139756,0.6136347530295514,-0.020905676422648956,-0.24328538019984425,0.22237970377719507,-1.7800000000000011,-0.1200000000000001,0.08645881110528413,-0.0745743854746594,0.011884425630624723,-0.46780860371443556,-0.9542685109477502,-0.15771912198774596,-0.12803117936182742,-0.08641256820399756,-0.11084423438368662,0.020000000000000018,-0.03,0.3199999999999994
Argentina,0.40000000000000036,-0.09999999999999964,3,1,1.0,0.0,0.0,0.0,0.15000000000000013,-0.16000000000000003,-1.5999999999999996,-48.83999999999992,0.16616664748276228,-0.11140433605744773,0.054762311425314625,0.3438622026340119,0.2974541721278914,0.5404384326626392,0.09999999999999964,0.0492300396835301,0.10775700701325283,0.15698704669678284,-1.8330546334889135,0.5814635485561686,1.0056280729777622,-0.2445279157411333,-0.5161354730825867,0.2716075573414529,4.179999999999993,0.45999999999999996,0.07050443058173733,0.052878322936302985,0.12338275351804033,-0.34590311068550683,-1.1024934721546447,-0.20948845694371188,-0.26789674646583495,-0.4549692776697023,-0.47797732220267486,0.039999999999999925,-0.28,0.46999999999999975
France,0.09999999999999964,0.20000000000000018,0,0,2.0,0.0,0.0,17.0,-0.25,-0.06000000000000005,0.7000000000000011,-51.34999999999991,-0.23154079716376785,-0.17237218526773965,-0.4039129824315074,-0.9445916773434897,-0.49408094494269594,-1.2232567527247837,-0.3700000000000001,0.02882379995337793,0.06750754459026104,0.09633134454363884,2.2419876136413706,-0.8320470253208421,-0.5400288553013741,-0.904846808591067,-0.5794686340353952,-0.32537817455567253,0.25,0.0699999999999994,0.12935680919870643,-0.07183792781016342,0.057518881388543025,-0.4231399565439862,-0.18737625047275142,0.10787823956627585,-0.08171260918778514,0.19970822583374415,-0.0024724624647500804,0.010000000000000009,0.019999999999999997,0.21999999999999975
Brazil,0.7000000000000002,-0.09999999999999964,-14,-14,12.0,1.0,0.0,-39.0,0.25,-0.42999999999999994,-1.8999999999999986,64.80999999999995,0.41934942929484653,0.05759109722073777,0.4769405265155843,0.6225145670785868,0.5807620581503776,0.15490305199184728,0.7299999999999995,-0.09346567766646388,0.08332061618352249,-0.010145061482941531,6.990731884509657,0.5209338615070147,0.640482234320829,0.1253301981081183,-0.44052565174497227,0.5658558498530899,3.0799999999999983,0.6299999999999999,0.10073085500023314,0.08270462979979318,0.18343548480002633,0.6004661617837854,-0.1986279153969166,-0.10120401126797651,-0.3715973892745761,0.02612645478409026,0.04516585155784969,0.06999999999999995,-0.08000000000000002,0.6799999999999997
Portugal,0.2999999999999998,-0.09999999999999964,11,10,-14.0,0.0,0.0,44.0,0.050000000000000266,-0.20000000000000007,-1.0,62.1400000000001,0.0011852381704913206,-0.21430977551173183,-0.21312453734124037,-0.319390496469238,0.2632788262399255,0.31670811534654675,0.20999999999999996,-0.28676426491460705,0.11917692292314974,-0.16758734199145742,-9.078336254173024,-0.86002625423966,0.7460135535846368,0.5036949177389367,0.07539764511464586,0.42829727262429107,-0.7800000000000011,0.20999999999999996,-0.0037136688693073794,-0.1247665232143265,-0.1284801920836339,-0.653079750729054,-0.3052380794682641,0.0378061053991291,-0.18114097295999246,0.0209909952827374,-0.20626003793007142,0.020000000000000018,-0.07,0.27999999999999936
Netherlands,0.0,-0.7999999999999989,5,5,-4.0,0.0,0.0,19.0,-0.17999999999999972,-0.22999999999999998,1.6000000000000014,68.10000000000014,-0.103845663562105,-0.14156426604400071,-0.24540992960610575,-0.1198254215236565,-0.8627020612319636,-0.4943709165370007,-0.4900000000000002,-0.12342722800296049,0.01850319996517047,-0.10492402803779016,-3.0138447472680667,0.04723758108755294,0.0920806304149071,0.27384735948452255,-0.11733205624972776,0.3911794157342503,-1.7600000000000051,0.1899999999999995,-0.03849100877965986,-0.037260647483663215,-0.07575165626332306,-0.5587408391358899,-0.5511777358752048,-0.0905159918152828,0.09578724560303317,0.3949218512836301,0.1485118458461836,-0.020000000000000018,-0.010000000000000009,0.29000000000000004
Belgium,-0.09999999999999964,0.3000000000000007,5,5,-6.0,0.0,0.0,36.0,0.25,-0.33000000000000007,-0.3999999999999986,91.25999999999999,0.04496576799597718,-0.26133330754651307,-0.21636753955053567,0.12358333655668585,-0.7015143310254128,-1.515588132905272,-0.1900000000000004,-0.4239891852033919,-0.04209167998033672,-0.4660808651837287,-1.8428167629347456,-0.9095796976772768,0.7518127073860146,0.07957478186063671,-0.4305948138134448,0.5101695956740813,0.7600000000000051,-0.15000000000000036,-0.07005234885151515,-0.13562641082622867,-0.20567875967774382,-0.3373403938557109,-0.5244014222242983,0.04945222921822778,-0.1697569278766259,-0.1875745385971268,-0.038513267140493745,0.020000000000000018,-0.07,0.009999999999999787
Germany,0.2999999999999998,0.9000000000000004,10,9,-7.0,0.0,1.0,73.0,-0.04999999999999982,-0.53,0.40000000000000036,95.60000000000014,0.01628460690345579,-0.2343004890455158,-0.2180158821420598,0.21185208233280806,-0.7334921773009828,0.3544565371789581,-0.010000000000000675,-0.05661612305007091,0.0910330533435148,0.03441693029344378,-3.172357368822958,-0.12523180975237258,0.4815097632813352,0.5079633467873896,0.06894294752918073,0.4390203992582089,1.7199999999999989,0.4299999999999997,-0.0515477134143589,-0.08388691571403552,-0.1354346291283944,-0.22076787097543082,-0.5339543567640579,-0.2448516387182048,-0.18722610537415793,-0.062484539116711924,-0.1471027433249612,0.030000000000000027,-0.12,0.3899999999999997
Croatia,-0.09999999999999964,-0.5,0,-1,1.0,0.0,0.0,-11.0,0.4500000000000002,-0.22999999999999998,-1.799999999999999,108.90000000000009,0.11958936263973452,-0.18221695610335178,-0.06262759346361724,0.012141052044642997,-0.52257111508818,0.2063978847589325,0.009999999999999787,-0.33471827701700085,-0.10662653156399707,-0.4413448085809981,1.0613897485903294,-0.4309577309534913,0.6170772035443255,0.18611947259083372,-0.10577860685971086,0.2918980794505448,-0.45000000000000284,0.08000000000000007,-0.003044809043294322,-0.06848441590347111,-0.07152922494676536,-0.9778356667398356,-0.513645013061359,-0.11376405663714861,0.03005559551720588,-0.4105377880757397,-0.2975349336994153,-0.010000000000000009,0.03,-0.0600000000000005
Morocco,0.09999999999999964,0.3000000000000007,1,1,-1.0,0.0,0.0,22.0,0.55,-0.13,-2.0999999999999996,70.10000000000014,-0.004600721909767791,0.029614120503399677,0.02501339859363194,0.07283669212937549,0.07203761937662656,-0.3055363634602595,0.05999999999999961,-0.12037878425558371,0.10971352049356739,-0.01066526376201643,5.568606820029643,-0.0659524606628723,-0.0659524606628723,-0.3092448228035769,-0.35946243244535836,0.050217609641781014,0.789999999999992,0.1899999999999995,0.06474805112261167,-0.1614174254053492,-0.0966693742827375,-0.9637685888505203,-0.9345286568358455,-0.12855587418123415,0.000139293046516914,-0.19170205526890105,-0.5153726643587013,-0.010000000000000009,-0.07,-0.0600000000000005
