Date,Home team,Away team,Scored team,Player,Minute,Own goal,Penalty,Position,Player trait
12-06-2014,Brazil,Croatia,Croatia,Marcelo,12,TRUE,FALSE,full back,both
12-06-2014,Brazil,Croatia,Brazil,Neymar,29,FALSE,FALSE,winger,attack
12-06-2014,Brazil,Croatia,Brazil,Neymar,71,FALSE,TRUE,winger,attack
12-06-2014,Brazil,Croatia,Brazil,Oscar,90,FALSE,FALSE,midfielder,attack
13-06-2014,Chile,Australia,Chile,Alexis Sánchez,12,FALSE,FALSE,winger,attack
13-06-2014,Chile,Australia,Chile,Jorge Valdivia,14,FALSE,FALSE,midfielder,attack
13-06-2014,Chile,Australia,Australia,Tim Cahill,35,FALSE,FALSE,midfielder,attack
13-06-2014,Chile,Australia,Chile,Jean Beausejour,90,FALSE,FALSE,wing back,both
13-06-2014,Mexico,Cameroon,Mexico,Oribe Peralta,61,FALSE,FALSE,centre forward,attack
13-06-2014,Spain,Netherlands,Spain,Xabi Alonso,27,FALSE,TRUE,midfielder,both
13-06-2014,Spain,Netherlands,Netherlands,Robin van Persie,44,FALSE,FALSE,centre forward,attack
13-06-2014,Spain,Netherlands,Netherlands,Arjen Robben,53,FALSE,FALSE,winger,attack
13-06-2014,Spain,Netherlands,Netherlands,Stefan de Vrij,64,FALSE,FALSE,centre back,defence
13-06-2014,Spain,Netherlands,Netherlands,Robin van Persie,72,FALSE,FALSE,centre forward,attack
13-06-2014,Spain,Netherlands,Netherlands,Arjen Robben,80,FALSE,FALSE,winger,attack
14-06-2014,Colombia,Greece,Colombia,Pablo Armero,5,FALSE,FALSE,full back,both
14-06-2014,Colombia,Greece,Colombia,Teófilo Gutiérrez,58,FALSE,FALSE,centre forward,attack
14-06-2014,Colombia,Greece,Colombia,James Rodríguez,90,FALSE,FALSE,midfielder,attack
14-06-2014,England,Italy,Italy,Claudio Marchisio,35,FALSE,FALSE,midfielder,both
14-06-2014,England,Italy,England,Daniel Sturridge,37,FALSE,FALSE,centre forward,attack
14-06-2014,England,Italy,Italy,Mario Balotelli,50,FALSE,FALSE,centre forward,attack
14-06-2014,Ivory Coast,Japan,Japan,Keisuke Honda,16,FALSE,FALSE,midfielder,attack
14-06-2014,Ivory Coast,Japan,Ivory Coast,Wilfried Bony,64,FALSE,FALSE,centre forward,attack
