players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
Akliouche,right wing,62.0,8.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,France
Barcola,left wing,71.5,7.5,0.0,0.5,0.5,2.0,0.5,0.0,2.0,5.5,1.0,0.5,1.0,0.0,0.0,3.5,5.5,0.0,0.0,France
Barcola,right wing,63.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,France
Camavinga,defensive midfielder,75.0,7.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,7.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,France
Cherki,attacking midfielder,68.0,8.0,0.0,0.0,1.0,3.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,France
Chevalier,goal keeper,90.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,France
Coman,left midfielder,70.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,France
Dembélé,right wing,35.0,7.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,France
Digne,left back,90.0,7.33,0.0,0.33,0.33,1.0,4.67,3.0,2.0,5.33,0.33,2.0,1.0,1.67,0.0,1.0,1.0,0.0,0.0,France
Doué,right wing,45.0,7.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,France
Ekitiké,centre forward,51.0,7.5,0.5,1.0,2.0,3.5,0.0,0.0,1.5,4.0,0.0,0.0,0.0,0.5,0.0,1.5,2.5,0.0,0.0,France
Ekitiké,left wing,90.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,France
Gusto,right back,90.0,8.0,0.0,1.0,0.5,1.5,4.0,2.5,3.0,6.0,0.5,2.5,1.5,1.0,0.0,2.0,3.0,0.0,0.0,France
Hernández,left back,90.0,8.0,0.0,1.0,0.0,1.0,4.0,2.0,3.0,7.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,France
K Thuram,central midfielder,90.0,7.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,France
K Thuram,defensive midfielder,90.0,8.0,0.0,0.0,2.0,4.0,5.0,3.0,2.0,7.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,France
Kanté,defensive midfielder,80.0,8.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,7.0,0.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,France
Konaté,centre back,90.0,7.0,0.0,0.0,0.0,0.0,4.67,3.33,0.33,5.0,0.0,1.33,1.67,3.67,1.0,0.0,0.0,0.0,0.0,France
Koné,defensive midfielder,87.5,7.5,0.0,0.0,0.25,1.5,3.0,2.25,1.75,7.75,0.25,3.5,2.25,1.25,0.25,2.0,2.25,0.5,0.0,France
Koundé,right back,83.0,7.5,0.0,0.0,0.25,0.75,3.75,2.5,1.0,4.75,0.0,1.75,1.0,1.75,0.5,1.0,1.25,0.0,0.0,France
L Hernández,centre back,90.0,7.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,5.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,France
M Thuram,left wing,69.0,7.0,0.0,0.0,3.0,7.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,France
Maignan,goal keeper,90.0,6.0,0.0,0.0,0.0,0.4,4.6,2.4,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,France
Mateta,central forward,79.0,8.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,France
Mateta,centre forward,88.0,8.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,France
Mbappé,forward,88.0,9.0,1.25,0.75,3.0,7.25,1.5,1.0,2.75,6.25,1.0,0.0,0.25,0.0,0.0,4.0,7.25,0.25,0.0,France
Nkunku,attacking midfielder,62.0,7.0,0.0,0.0,1.0,5.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,France
Nkunku,left wing,74.0,8.0,1.0,0.0,3.0,4.0,1.0,1.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,France
Olise,attacking midfielder,89.33,7.67,0.33,0.33,1.67,3.67,3.67,2.33,4.0,6.67,1.33,1.0,1.0,0.33,0.0,3.33,5.67,0.0,0.0,France
Olise,right midfielder,70.0,8.0,0.0,0.0,0.0,2.0,4.0,3.0,4.0,7.0,1.0,2.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,France
Olise,right wing,89.0,10.0,1.0,0.0,2.0,3.0,2.0,1.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,France
Rabiot,central midfielder,70.0,8.0,1.0,0.0,1.0,2.0,4.0,3.0,1.0,5.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,France
Saliba,centre back,90.0,6.67,0.0,0.0,0.0,0.0,4.33,3.0,0.33,5.0,0.33,1.33,1.33,2.0,0.67,0.0,0.0,0.0,0.0,France
T Hernández,left back,90.0,7.0,0.0,0.0,0.0,1.0,4.0,2.0,1.5,5.5,0.5,2.0,1.0,1.0,0.0,2.0,2.5,0.5,0.0,France
Tchouaméni,defensive midfielder,79.0,7.5,0.0,0.5,0.0,1.0,6.0,5.0,2.5,6.5,0.0,3.5,2.5,1.5,1.0,0.5,0.5,0.0,0.5,France
Thauvin,forward,7.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
Thauvin,right wing,64.0,7.0,0.0,0.0,2.0,5.0,2.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,France
Upamecano,centre back,90.0,7.2,0.0,0.0,0.0,0.2,5.8,4.0,0.2,5.6,0.0,1.6,1.8,3.6,0.8,0.2,0.2,0.0,0.0,France
Zaïre-Emery,defensive midfielder,90.0,7.0,0.0,0.0,1.0,2.0,5.0,3.0,2.0,6.0,1.0,3.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,France
