Countries,Overall Squad ratings_diff,Top 11 Squad ratings_diff,Squad_depth_60_diff,Squad_depth_45_diff,Squad_depth_avg_per_match_diff,Squad_depth_ratings_diff,Squad_depth_rating_15_diff,Squad_depth_index_diff,xg_per_90_diff,xga_per_90_diff,ppda_per_90_diff,Elo_ratings_diff,Attack Goals per 90_diff,Attack Assists per 90_diff,Attack Contributions per 90_diff,Attack Shots per 90_diff,Attack Key Passes per 90_diff,Attack Dribbles per 90_diff,Attack Rating_diff,Midfield Goals per 90_diff,Midfield Assists per 90_diff,Midfield Contributions per 90_diff,Midfield Touches per 90_diff,Midfield Key Passes per 90_diff,Midfield Dribbles per 90_diff,Midfield Defense per 90_diff,Midfield Tackles per 90_diff,Midfield Interceptions per 90_diff,Midfield Pass Accuracy_diff,Midfield Rating_diff,Defense Goals per 90_diff,Defense Assists per 90_diff,Defense Contributions per 90_diff,Defense Duels per 90_diff,Defense Clearances per 90_diff,Defense Blocks per 90_diff,Defense Take-ons Conceded per 90_diff,Defense Tackles per 90_diff,Defense Interceptions per 90_diff,Defense Duels Won Pct_diff,Defense Cards per 90_diff,Defense Rating_diff
Argentina,0.10000000000000053,-1.0,-7,-8,8.0,0.0,-1.0,-73.0,0.19999999999999996,0.37,-2.0,-144.44000000000005,0.14988204057930649,0.12289615298806805,0.2727781935673744,0.13201012030120385,1.0309463494288742,0.18598189548368116,0.11000000000000032,0.105846162733601,0.01672395366973803,0.12257011640333906,1.3393027353340443,0.7066953583085411,0.5241183096964271,-0.7524912625285229,-0.5850784206117674,-0.16741284191675598,2.4599999999999937,0.03000000000000025,0.12205214399609624,0.13676523865033852,0.2588173826464347,-0.125135239710076,-0.5685391153905868,0.035363181774492936,-0.08067064109167704,-0.3924847385529904,-0.33087457887771365,0.009999999999999898,-0.16000000000000003,0.08000000000000007
France,-0.20000000000000018,-0.7000000000000002,-10,-9,9.0,0.0,-1.0,-56.0,-0.20000000000000018,0.47,0.3000000000000007,-146.95000000000005,-0.24782540406722364,0.06192830377777614,-0.18589710028944761,-1.1564437596762978,0.23941123235828687,-1.5777132899037418,-0.35999999999999943,0.08543992300344884,-0.023525508753253765,0.06191441425019506,5.414344982464328,-0.7068152155684695,-1.0215386185827093,-1.4128101553784567,-0.6484115815645759,-0.7643985738138814,-1.4699999999999989,-0.3600000000000003,0.18090452261306533,0.0120489879038721,0.19295351051693743,-0.20237208556855535,0.3465781062913065,0.35272987828448066,0.10551349618637279,0.26219276495045607,0.14463028086021112,-0.020000000000000018,0.13999999999999999,-0.16999999999999993
England,-0.2999999999999998,-0.9000000000000004,-10,-9,7.0,0.0,-1.0,-73.0,0.04999999999999982,0.53,-0.40000000000000036,-95.60000000000014,-0.01628460690345579,0.2343004890455158,0.2180158821420598,-0.21185208233280806,0.7334921773009828,-0.3544565371789581,0.010000000000000675,0.05661612305007091,-0.0910330533435148,-0.03441693029344378,3.172357368822958,0.12523180975237258,-0.4815097632813352,-0.5079633467873896,-0.06894294752918073,-0.4390203992582089,-1.7199999999999989,-0.4299999999999997,0.0515477134143589,0.08388691571403552,0.1354346291283944,0.22076787097543082,0.5339543567640579,0.2448516387182048,0.18722610537415793,0.062484539116711924,0.1471027433249612,-0.030000000000000027,0.12,-0.3899999999999997
Brazil,0.40000000000000036,-1.0,-24,-23,19.0,1.0,-1.0,-112.0,0.2999999999999998,0.10000000000000009,-2.299999999999999,-30.79000000000019,0.40306482239139074,0.29189158626625356,0.6949564086576441,0.4106624847457787,1.3142542354513604,-0.1995534851871108,0.7400000000000002,-0.03684955461639297,-0.007712437159992314,-0.04456199177638531,10.163089253332615,0.6461656712593873,0.15897247103949375,-0.38263314867927134,-0.509468599274153,0.126835450594881,1.3599999999999994,0.20000000000000018,0.15227856841459206,0.16659154551382868,0.31887011392842074,0.8212340327592162,0.3353264413671413,0.1436476274502283,-0.18437128390041813,0.08861099390080218,0.1922685948828109,0.039999999999999925,0.03999999999999998,0.29000000000000004
Portugal,0.0,-1.0,1,1,-7.0,0.0,-1.0,-29.0,0.10000000000000009,0.32999999999999996,-1.4000000000000004,-33.460000000000036,-0.015099368732964469,0.019990713533783955,0.0048913448008194305,-0.5312425788020461,0.9967710035409083,-0.03774842183241134,0.22000000000000064,-0.23014814186453617,0.02814386957963494,-0.2020042722849012,-5.905978885350066,-0.7347944444872874,0.2645037903033016,-0.004268429048452926,0.00645469758546513,-0.010723126633917834,-2.5,-0.21999999999999975,0.047834044545051524,-0.04087960750029099,0.006954437044760509,-0.4323118797536232,0.2287162772957938,0.2826577441173339,0.006085132414165473,0.08347553439944932,-0.05915729460511021,-0.010000000000000009,0.04999999999999999,-0.11000000000000032
Netherlands,-0.2999999999999998,-1.6999999999999993,-5,-4,3.0,0.0,-1.0,-54.0,-0.1299999999999999,0.30000000000000004,1.200000000000001,-27.5,-0.1201302704655608,0.09273622300151507,-0.027394047464045945,-0.33167750385646455,-0.12920988393098076,-0.8488274537159588,-0.47999999999999954,-0.06681110495288958,-0.07252985337834433,-0.13934095833123394,0.1585126215548911,0.17246939083992552,-0.3894291328664281,-0.2341159873028671,-0.1862750037789085,-0.0478409835239586,-3.480000000000004,-0.2400000000000002,0.013056704634699046,0.0466262682303723,0.05968297286507135,-0.3379729681604591,-0.017223379111146908,0.154335646902922,0.2830133509771911,0.45740639040034203,0.2956145891711448,-0.050000000000000044,0.10999999999999999,-0.09999999999999964
Belgium,-0.39999999999999947,-0.5999999999999996,-5,-4,1.0,0.0,-1.0,-37.0,0.2999999999999998,0.19999999999999996,-0.7999999999999989,-4.3400000000001455,0.02868116109252139,-0.027032818500997258,0.0016483425915241323,-0.0882687457761222,0.03197784627556999,-1.8700446700842301,-0.17999999999999972,-0.367373062153321,-0.13312473332385152,-0.5004977954771725,1.3295406058882122,-0.7843478879249042,0.27030294410467937,-0.4283885649267529,-0.4995377613426255,0.07114919641587236,-0.9599999999999937,-0.5800000000000001,-0.018504635437156247,-0.05173949511219317,-0.07024413054934942,-0.11657252288028008,0.009552934539759583,0.2943038679364326,0.017469177497532018,-0.12508999948041488,0.10858947618446746,-0.010000000000000009,0.04999999999999999,-0.3799999999999999
Spain,-0.20000000000000018,-0.5999999999999996,-2,-1,-1.0,0.0,-1.0,-28.0,-0.3999999999999999,0.4,0.5999999999999996,-146.0300000000002,-0.02845341567689086,-0.11728888904977891,-0.14574230472666994,-0.5046680253836326,0.2557549386224349,-0.9666559272519286,-0.1299999999999999,-0.3889936849011728,0.020298531944558384,-0.3686951529566144,-14.098991224473068,-0.312228327729025,0.13212498974821618,-0.5288690232100386,-0.312228327729025,-0.21664069548101383,-3.5,-0.5499999999999998,0.13800652451964301,0.009312530239376116,0.14731905475901913,-0.24704073273900473,-0.42031415418369233,0.08713251673045885,0.05919492601233051,-0.02392802908728564,0.03625850894127458,-0.010000000000000009,0.09,-0.07000000000000028
Croatia,-0.39999999999999947,-1.4000000000000004,-10,-10,8.0,0.0,-1.0,-84.0,0.5,0.30000000000000004,-2.1999999999999993,13.299999999999955,0.10330475573627873,0.052083532942164,0.15538828867844257,-0.19971103028816506,0.21092106221280282,-0.14805865242002558,0.020000000000000462,-0.27810215396692994,-0.19765958490751187,-0.4757617388744419,4.233747117413287,-0.30572592120111874,0.13556744026299028,-0.3218438741965559,-0.1747215543888916,-0.1471223198076641,-2.1700000000000017,-0.34999999999999964,0.04850290437106458,0.015402499810564407,0.06390540418162904,-0.7570677957644047,0.02030934370269888,0.1310875820810562,0.2172817008913638,-0.3480532489590278,-0.1504321903744541,-0.040000000000000036,0.15,-0.4500000000000002
Morocco,-0.20000000000000018,-0.5999999999999996,-9,-8,6.0,0.0,-1.0,-51.0,0.5999999999999999,0.4,-2.5,-25.5,-0.02088532881322358,0.26391460954891544,0.24302928073569174,-0.13901539020343257,0.8055297966776094,-0.6599929006392176,0.07000000000000028,-0.0637626612055128,0.018680467150052588,-0.04508219405546021,8.740964188852601,0.05927934908950028,-0.5474622239442075,-0.8172081695909665,-0.4284053799745391,-0.3888027896164279,-0.9300000000000068,-0.2400000000000002,0.11629576453697058,-0.0775305096913137,0.038765254845656905,-0.7430007178750895,-0.4005743000717876,0.11629576453697066,0.18736539842067484,-0.12921751615218913,-0.3682699210337401,-0.040000000000000036,0.04999999999999999,-0.4500000000000002
Colombia,0.0,-0.5999999999999996,-16,-16,16.0,0.0,-1.0,-116.0,0.7,0.30000000000000004,-2.6999999999999993,45.36999999999989,0.13524389447564317,0.22042330547211705,0.3556671999477601,0.010872404335901642,1.1710975251403946,-0.15948641765704585,0.16000000000000014,0.14471469580561058,0.03662040284717617,0.18133509865278674,17.104044512865208,0.40632594085860596,0.4516193134886529,-1.0005374966780551,-0.6100814744407761,-0.39045602223727904,1.3700000000000045,0.040000000000000036,0.1390310734815517,0.11111544072720925,0.25014651420876094,-0.41003715849720024,-0.7792389366185768,0.02182749978178744,-0.24172974051398433,-0.3097372719677791,-0.19308078855817556,0.029999999999999916,0.04999999999999999,0.0
Uruguay,0.0,-0.40000000000000036,-13,-12,10.0,0.0,0.0,-94.0,0.97,0.19999999999999996,-3.4000000000000004,61.86999999999989,0.4229209141087298,0.2073580495982838,0.6302789637070134,0.5529547989287567,1.7043993436148073,-0.020103572468761488,0.34000000000000075,0.040924745283293346,0.062061812298458835,0.10298655758175218,21.7601623742081,0.8996394916631048,0.3825214995893653,-1.0742644936211732,-0.8928321275362574,-0.1814323660849153,6.030000000000001,-0.16000000000000014,0.15204912024051004,0.13762141905423236,0.2896705392947424,-0.12281671261082572,-0.6356018631148688,0.10905602072562237,-0.1306758222017429,-0.4031056210839381,-0.09264179183831955,0.019999999999999907,-0.07,0.07000000000000028
Senegal,-0.09999999999999964,-0.5999999999999996,-8,-7,7.0,0.0,0.0,-76.0,0.3999999999999999,0.1499999999999999,-1.0999999999999996,52.36999999999989,0.23161876064700876,0.04085873518369609,0.2724774958307046,0.00773351454580995,0.6247390833923494,-0.7874651186271009,0.20000000000000018,-0.1058547488898671,0.04898474662472595,-0.05687000226514116,12.36646565319407,0.48353926173492723,-0.020501664665079522,-2.0849962176416033,-1.0569704377705884,-1.0280257798710155,0.3400000000000034,-0.13999999999999968,0.15352393240923207,0.09876275200156548,0.25228668441079755,-0.9048665903291946,-0.7268514767326133,-0.26330771594510427,0.2344411439613645,-0.5112190095595102,-0.5706170034841074,-0.050000000000000044,0.13,-0.17999999999999972
