position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
right midfielder,64.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Germany
right wing,61.0,6.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Germany
centre forward,29.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Germany
centre back,72.33,7.33,0.0,0.0,0.33,1.0,4.67,3.0,0.0,3.67,0.0,1.33,1.33,2.67,0.67,0.33,0.0,0.0,0.0,Germany
right back,58.0,7.5,0.5,0.5,0.5,1.0,3.0,2.0,1.0,3.5,0.0,2.0,1.5,1.5,0.5,0.5,0.0,0.0,0.0,Germany
goal keeper,90.0,7.17,0.0,0.0,0.0,0.0,5.5,2.5,0.0,0.5,0.0,0.33,0.0,1.17,0.0,0.0,0.0,0.0,0.0,Germany
right back,45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Germany
attacking midfielder,70.5,8.0,0.75,0.25,2.25,3.75,1.5,0.75,2.25,4.25,0.75,1.0,0.75,0.0,0.0,1.75,0.0,0.0,0.0,Germany
central midfielder,66.0,7.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Germany
right wing,66.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Germany
attacking midfielder,90.0,5.0,0.0,0.0,1.0,2.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Germany
central midfielder,54.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Germany
defensive midfielder,63.0,7.67,0.0,0.33,1.0,2.33,3.33,2.33,1.33,4.0,0.33,1.33,1.0,1.0,0.67,0.33,0.0,0.0,0.0,Germany
central midfielder,90.0,6.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,6.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Germany
central midfielder,90.0,8.0,0.0,0.0,1.0,1.0,8.0,5.0,4.0,6.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Germany
defensive midfielder,90.0,6.0,0.0,0.0,1.0,2.0,9.0,6.0,2.0,6.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Germany
right back,81.33,8.0,0.67,0.33,1.33,1.67,7.0,4.67,1.67,4.67,0.33,2.0,1.0,1.67,0.33,0.67,0.0,0.0,0.0,Germany
centre back,90.0,7.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,6.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,Germany
right wingback,90.0,7.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,Germany
left back,90.0,5.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,Germany
defensive midfielder,45.0,7.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Germany
right wing,13.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Germany
central midfielder,90.0,8.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,6.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,Germany
defensive midfielder,73.67,7.33,0.0,0.0,0.0,0.67,5.33,4.0,1.0,4.67,0.0,2.0,1.0,0.33,0.33,0.67,0.0,0.0,0.0,Germany
left back,75.6,7.4,0.2,0.4,0.2,0.6,7.4,4.0,2.4,4.2,0.6,1.8,1.0,1.4,0.2,0.2,0.0,0.0,0.0,Germany
left wingback,90.0,8.0,0.0,1.0,1.0,1.0,5.0,3.0,2.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,Germany
centre back,86.0,6.5,0.0,0.0,0.0,1.0,7.5,5.0,0.0,5.0,0.5,2.0,1.5,3.5,1.0,0.5,0.0,1.0,0.0,Germany
right midfielder,79.0,8.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,Germany
right wing,90.0,9.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,7.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,Germany
centre back,66.33,7.33,0.0,0.0,0.0,0.67,6.0,3.67,0.0,4.33,0.0,1.67,1.67,2.67,1.0,0.67,0.0,0.0,0.0,Germany
defensive midfielder,60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Germany
centre back,87.8,7.0,0.0,0.0,0.0,0.0,6.6,4.6,0.0,4.8,0.0,1.8,1.4,3.0,1.6,0.2,0.0,0.2,0.0,Germany
attacking midfielder,90.0,8.0,1.0,0.0,2.0,4.0,2.0,2.0,3.0,7.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,Germany
left midfielder,90.0,7.5,0.0,0.0,0.5,2.5,2.0,1.0,2.5,5.0,1.5,1.5,0.5,0.0,0.0,2.0,0.0,0.0,0.0,Germany
