players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
Adeyami,right midfielder,64.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Germany
Adeyami,right wing,61.0,6.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Germany
Amiri,centre forward,29.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Germany
Anton,centre back,72.33,7.33,0.0,0.0,0.33,1.0,4.67,3.0,0.0,3.67,0.0,1.33,1.33,2.67,0.67,0.33,0.0,0.0,0.0,Germany
Baku,right back,58.0,7.5,0.5,0.5,0.5,1.0,3.0,2.0,1.0,3.5,0.0,2.0,1.5,1.5,0.5,0.5,0.0,0.0,0.0,Germany
Baumann,goal keeper,90.0,7.17,0.0,0.0,0.0,0.0,5.5,2.5,0.0,0.5,0.0,0.33,0.0,1.17,0.0,0.0,0.0,0.0,0.0,Germany
Collins,right back,45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Germany
Gnabry,attacking midfielder,70.5,8.0,0.75,0.25,2.25,3.75,1.5,0.75,2.25,4.25,0.75,1.0,0.75,0.0,0.0,1.75,0.0,0.0,0.0,Germany
Gnabry,central midfielder,66.0,7.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Germany
Gnabry,right wing,66.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Germany
Goretzka,attacking midfielder,90.0,5.0,0.0,0.0,1.0,2.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Germany
Goretzka,central midfielder,54.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Germany
Goretzka,defensive midfielder,63.0,7.67,0.0,0.33,1.0,2.33,3.33,2.33,1.33,4.0,0.33,1.33,1.0,1.0,0.67,0.33,0.0,0.0,0.0,Germany
Groß,central midfielder,90.0,6.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,6.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Germany
Kimmich,central midfielder,90.0,8.0,0.0,0.0,1.0,1.0,8.0,5.0,4.0,6.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Germany
Kimmich,defensive midfielder,90.0,6.0,0.0,0.0,1.0,2.0,9.0,6.0,2.0,6.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Germany
Kimmich,right back,81.33,8.0,0.67,0.33,1.33,1.67,7.0,4.67,1.67,4.67,0.33,2.0,1.0,1.67,0.33,0.67,0.0,0.0,0.0,Germany
Koch,centre back,90.0,7.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,6.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,Germany
Leweling,right wingback,90.0,7.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,Germany
Mittelstädt,left back,90.0,5.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,Germany
Nmecha,defensive midfielder,45.0,7.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Germany
Ouédraogo,right wing,13.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Germany
Pavlovic,central midfielder,90.0,8.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,6.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,Germany
Pavlovic,defensive midfielder,73.67,7.33,0.0,0.0,0.0,0.67,5.33,4.0,1.0,4.67,0.0,2.0,1.0,0.33,0.33,0.67,0.0,0.0,0.0,Germany
Raum,left back,75.6,7.4,0.2,0.4,0.2,0.6,7.4,4.0,2.4,4.2,0.6,1.8,1.0,1.4,0.2,0.2,0.0,0.0,0.0,Germany
Raum,left wingback,90.0,8.0,0.0,1.0,1.0,1.0,5.0,3.0,2.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,Germany
