Countries,Overall Squad ratings_diff,Top 11 Squad ratings_diff,Squad_depth_60_diff,Squad_depth_45_diff,Squad_depth_avg_per_match_diff,Squad_depth_ratings_diff,Squad_depth_rating_15_diff,Squad_depth_index_diff,xg_per_90_diff,xga_per_90_diff,ppda_per_90_diff,Elo_ratings_diff,Attack Goals per 90_diff,Attack Assists per 90_diff,Attack Contributions per 90_diff,Attack Shots per 90_diff,Attack Key Passes per 90_diff,Attack Dribbles per 90_diff,Attack Rating_diff,Midfield Goals per 90_diff,Midfield Assists per 90_diff,Midfield Contributions per 90_diff,Midfield Touches per 90_diff,Midfield Key Passes per 90_diff,Midfield Dribbles per 90_diff,Midfield Defense per 90_diff,Midfield Tackles per 90_diff,Midfield Interceptions per 90_diff,Midfield Pass Accuracy_diff,Midfield Rating_diff,Defense Goals per 90_diff,Defense Assists per 90_diff,Defense Contributions per 90_diff,Defense Duels per 90_diff,Defense Clearances per 90_diff,Defense Blocks per 90_diff,Defense Take-ons Conceded per 90_diff,Defense Tackles per 90_diff,Defense Interceptions per 90_diff,Defense Duels Won Pct_diff,Defense Cards per 90_diff,Defense Rating_diff
Argentina,0.40000000000000036,0.6999999999999993,-2,-4,5.0,0.0,0.0,-19.0,0.32999999999999985,0.06999999999999995,-3.200000000000001,-116.94000000000005,0.2700123110448673,0.03015992998655298,0.3001722410314204,0.4636876241576684,1.160156233359855,1.03480934919964,0.5899999999999999,0.1726572676864906,0.08925380704808236,0.261911074734573,1.1807901137791532,0.5342259674686156,0.9135474425628552,-0.5183752752256559,-0.3988034168328589,-0.11957185839279738,5.939999999999998,0.27000000000000046,0.10899543936139719,0.0901389704199662,0.19913440978136338,0.21283772845038307,-0.5513157362794399,-0.11897246512842907,-0.36368399206886814,-0.8498911289533324,-0.6264891680488585,0.05999999999999994,-0.27,0.17999999999999972
Spain,0.09999999999999964,1.0999999999999996,3,3,-4.0,0.0,0.0,26.0,-0.27,0.09999999999999998,-0.6000000000000014,-118.5300000000002,0.09167685478866994,-0.21002511205129398,-0.11834825726262399,-0.1729905215271681,0.3849648225534157,-0.11782847353596981,0.34999999999999964,-0.32218257994828325,0.09282838532290272,-0.22935419462538048,-14.257503846027959,-0.4846977185689505,0.5215541226146443,-0.2947530359071715,-0.1259533239501165,-0.16879971195705523,-0.01999999999999602,-0.3099999999999996,0.12494981988494398,-0.03731373799099619,0.08763608189394778,0.09093223542145434,-0.4030907750725454,-0.06720313017246315,-0.2238184249648606,-0.4813344194876277,-0.2593560802298702,0.040000000000000036,-0.01999999999999999,0.02999999999999936
France,0.09999999999999964,0.9999999999999991,-5,-5,6.0,0.0,0.0,-2.0,-0.07000000000000028,0.16999999999999993,-0.9000000000000004,-119.45000000000005,-0.12769513360166285,-0.030807919223738933,-0.15850305282540167,-0.8247662558198332,0.36862111628926764,-0.728885836187783,0.1200000000000001,0.15225102795633844,0.04900434462509057,0.201255372581429,5.255832360909437,-0.879284606408395,-0.6321094857162812,-1.1786941680755896,-0.4621365777856674,-0.7165575902899228,2.010000000000005,-0.1200000000000001,0.1678478179783663,-0.034577280326500204,0.13327053765186608,0.13560088259190373,0.3638014854024534,0.19839423138155865,-0.1774998547908183,-0.19521362544988596,-0.15098430831093368,0.030000000000000027,0.030000000000000006,-0.07000000000000028
England,0.0,0.7999999999999989,-5,-5,4.0,0.0,0.0,-19.0,0.17999999999999972,0.22999999999999998,-1.6000000000000014,-68.10000000000014,0.103845663562105,0.14156426604400071,0.24540992960610575,0.1198254215236565,0.8627020612319636,0.4943709165370007,0.4900000000000002,0.12342722800296049,-0.01850319996517047,0.10492402803779016,3.0138447472680667,-0.04723758108755294,-0.0920806304149071,-0.27384735948452255,0.11733205624972776,-0.3911794157342503,1.7600000000000051,-0.1899999999999995,0.03849100877965986,0.037260647483663215,0.07575165626332306,0.5587408391358899,0.5511777358752048,0.0905159918152828,-0.09578724560303317,-0.3949218512836301,-0.1485118458461836,0.020000000000000018,0.010000000000000009,-0.29000000000000004
Brazil,0.7000000000000002,0.6999999999999993,-19,-19,16.0,1.0,0.0,-58.0,0.4299999999999997,-0.19999999999999996,-3.5,-3.290000000000191,0.5231950928569515,0.19915536326473848,0.72235045612169,0.7423399886022433,1.4434641193823412,0.649273968528848,1.2199999999999998,0.029961550336496612,0.06481741621835202,0.09477896655484863,10.004576631777724,0.47369628041946177,0.5484016039059219,-0.14851716137640425,-0.3231935954952445,0.1746764341188396,4.840000000000003,0.4400000000000004,0.139221863779893,0.11996527728345639,0.2591871410633494,1.1592070009196753,0.3525498204782882,-0.010688019452693709,-0.46738463487760923,-0.36879539649953985,-0.10334599428833391,0.08999999999999997,-0.07,0.3899999999999997
Portugal,0.2999999999999998,0.6999999999999993,6,5,-10.0,0.0,0.0,25.0,0.22999999999999998,0.029999999999999916,-2.6000000000000014,-5.960000000000036,0.10503090173259633,-0.07274550946773112,0.032285392264865376,-0.1995650749455815,1.125980887471889,0.8110790318835475,0.7000000000000002,-0.16333703691164658,0.10067372295797927,-0.06266331395366725,-6.064491506904957,-0.9072638353272129,0.6539329231697297,0.22984755825441416,0.19272970136437362,0.03711785689004077,0.980000000000004,0.020000000000000462,0.03477733991035248,-0.08750587573066329,-0.05272853582031084,-0.0943389115931641,0.2459396564069407,0.1283220972144119,-0.27692821856302563,-0.3739308560008927,-0.354771883776255,0.040000000000000036,-0.06,-0.010000000000000675
Belgium,-0.09999999999999964,1.0999999999999996,0,0,-2.0,0.0,0.0,17.0,0.4299999999999997,-0.10000000000000009,-2.0,23.159999999999854,0.14881143155808219,-0.11976904150251233,0.029042390055570078,0.24340875808034235,0.16118773020655075,-1.0212172163682713,0.2999999999999998,-0.30056195720043144,-0.06059487994550719,-0.36115683714593855,1.1710279843333211,-0.9568172787648297,0.6597320769711075,-0.19427257762388583,-0.313262757563717,0.11899017993983096,2.5200000000000102,-0.33999999999999986,-0.03156134007185529,-0.09836576334256547,-0.12992710341442076,0.221400445280179,0.02677631365090649,0.1399682210335106,-0.2655441734796591,-0.5824963898807569,-0.18702511298667734,0.040000000000000036,-0.06,-0.28000000000000025
Germany,0.2999999999999998,1.6999999999999993,5,4,-3.0,0.0,1.0,54.0,0.1299999999999999,-0.30000000000000004,-1.200000000000001,27.5,0.1201302704655608,-0.09273622300151507,0.027394047464045945,0.33167750385646455,0.12920988393098076,0.8488274537159588,0.47999999999999954,0.06681110495288958,0.07252985337834433,0.13934095833123394,-0.1585126215548911,-0.17246939083992552,0.3894291328664281,0.2341159873028671,0.1862750037789085,0.0478409835239586,3.480000000000004,0.2400000000000002,-0.013056704634699046,-0.0466262682303723,-0.05968297286507135,0.3379729681604591,0.017223379111146908,-0.154335646902922,-0.2830133509771911,-0.45740639040034203,-0.2956145891711448,0.050000000000000044,-0.10999999999999999,0.09999999999999964
Croatia,-0.09999999999999964,0.29999999999999893,-5,-6,5.0,0.0,0.0,-30.0,0.6299999999999999,0.0,-3.4000000000000004,40.799999999999955,0.22343502620183953,-0.04065269005935107,0.1827823361424885,0.1319664735682995,0.3401309461437836,0.7007688012959332,0.5,-0.2112910490140404,-0.12512973152916754,-0.33642078054320795,4.075234495858396,-0.47819531204104426,0.5249965731294184,-0.08772788689368882,0.011553449390016901,-0.0992813362837055,1.3100000000000023,-0.10999999999999943,0.035446199736365536,-0.031223768419807896,0.0042224313165576954,-0.4190948276039457,0.03753272281384579,-0.02324806482186581,-0.06573165008582729,-0.8054596393593698,-0.4460467795455989,0.010000000000000009,0.04000000000000001,-0.35000000000000053
Morocco,0.09999999999999964,1.0999999999999996,-4,-4,3.0,0.0,0.0,3.0,0.7299999999999998,0.09999999999999998,-3.700000000000001,2.0,0.09924494165233722,0.1711783865474004,0.2704233281997377,0.19266211365303199,0.9347396806085901,0.18883455307674124,0.5499999999999998,0.0030484437473767834,0.09121032052839692,0.09425876427577373,8.58245156729771,-0.11319004175042524,-0.1580330910777794,-0.5830921822880994,-0.2421303761956306,-0.3409618060924693,2.549999999999997,0.0,0.10323905990227153,-0.124156777921686,-0.020917718019414444,-0.4050277497146304,-0.3833509209606407,-0.03803988236595135,-0.09564795255651626,-0.5866239065525312,-0.6638845102048849,0.010000000000000009,-0.06,-0.35000000000000053
Colombia,0.2999999999999998,1.0999999999999996,-11,-12,13.0,0.0,0.0,-62.0,0.8299999999999998,0.0,-3.9000000000000004,72.86999999999989,0.25537416494120396,0.12768708247060198,0.383061247411806,0.3425499081923662,1.3003074090713753,0.689341036058913,0.6399999999999997,0.21152580075850017,0.1091502562255205,0.3206760569840207,16.945531891310317,0.23385655001868044,0.841048446355081,-0.766421509375188,-0.4238064706618676,-0.34261503871332044,4.8500000000000085,0.28000000000000025,0.12597436884685265,0.06448917249683694,0.1904635413436896,-0.07206419033674116,-0.7620155575074299,-0.13250814712113457,-0.5247430914911755,-0.7671436623681211,-0.48869537772932037,0.07999999999999996,-0.06,0.09999999999999964
Uruguay,0.2999999999999998,1.299999999999999,-8,-8,7.0,0.0,1.0,-40.0,1.0999999999999999,-0.10000000000000009,-4.600000000000001,89.36999999999989,0.5430511845742906,0.11462182659676873,0.6576730111710594,0.8846323027852212,1.833609227545788,0.8287238812471973,0.8200000000000003,0.10773585023618293,0.13459166567680317,0.24232751591298612,21.60164975265321,0.7271701008231792,0.7719506324557934,-0.8401485063183061,-0.7065571237573489,-0.1335913825609567,9.510000000000005,0.08000000000000007,0.138992415605811,0.09099515082386006,0.22998756642967105,0.21515625554963336,-0.6183784840037219,-0.04527962617729964,-0.413689173178934,-0.8605120114842801,-0.38825638100946436,0.06999999999999995,-0.18,0.16999999999999993
Senegal,0.20000000000000018,1.0999999999999996,-3,-3,4.0,0.0,1.0,-22.0,0.5299999999999998,-0.15000000000000013,-2.3000000000000007,79.86999999999989,0.35174903111256955,-0.05187748781781898,0.2998715432947505,0.3394110184022745,0.7539489673233302,0.06136233508885791,0.6799999999999997,-0.03904364393697751,0.12151460000307028,0.08247095606609278,12.207953031639178,0.3110698708950017,0.3689274682013486,-1.8508802303387362,-0.8706954339916799,-0.9801847963470569,3.8200000000000074,0.10000000000000053,0.14046722777453302,0.052136483771193176,0.1926037115457262,-0.5668936221687355,-0.7096280976214664,-0.4176433628480263,-0.048572207015826596,-0.9686253999598522,-0.8662315926552522,0.0,0.020000000000000004,-0.08000000000000007
