position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
left back,62.0,6.67,0.0,0.0,0.0,0.0,2.67,1.67,0.33,4.0,0.33,1.33,0.67,1.67,0.0,0.33,0.33,0.0,0.0,Netherlands
centre forward,67.12,8.0,1.0,0.5,1.62,3.5,1.0,0.75,2.62,3.62,0.88,0.25,0.12,0.0,0.0,1.25,2.75,0.12,0.0,Netherlands
right back,88.17,7.5,0.33,0.5,0.83,2.33,2.17,1.17,1.5,5.83,0.0,1.5,0.83,1.83,0.17,0.83,0.83,0.0,0.0,Netherlands
goal keeper,90.0,7.5,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Netherlands
right wing,76.0,7.5,0.0,0.0,1.0,1.5,1.0,0.0,2.0,6.0,0.0,1.5,1.0,0.5,0.0,3.0,5.0,0.0,0.0,Netherlands
left wing,81.5,8.12,0.5,0.5,1.12,3.25,2.12,1.25,3.12,6.25,1.25,1.62,0.62,0.12,0.0,2.88,4.5,0.0,0.0,Netherlands
right back,74.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Netherlands
central midfielder,90.0,7.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,6.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,Netherlands
defensive midfielder,71.6,7.2,0.0,0.0,0.2,0.8,2.6,1.8,0.6,4.8,0.4,1.6,0.8,0.4,0.4,1.4,2.2,0.0,0.0,Netherlands
centre back,80.67,7.0,0.0,0.0,0.0,0.0,4.0,2.33,0.33,4.67,0.0,2.0,1.33,2.67,1.0,0.67,0.67,0.0,0.0,Netherlands
right back,64.0,7.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Netherlands
attacking midfielder,75.33,6.67,0.0,0.0,0.33,2.0,1.33,1.0,2.0,3.33,0.67,1.0,0.33,0.0,0.0,1.33,2.67,0.0,0.0,Netherlands
left wing,45.0,8.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,Netherlands
central midfielder,18.0,9.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Netherlands
right wing,86.75,7.75,0.5,0.0,1.75,3.25,0.5,0.0,1.25,4.75,0.5,0.75,0.5,0.0,0.0,2.25,3.75,0.0,0.0,Netherlands
