players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
Cancelo,left back,73.0,7.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,Portugal
Cancelo,right back,71.0,8.0,0.67,0.67,1.0,1.67,3.67,2.33,3.0,5.0,0.67,1.67,0.67,1.0,0.0,2.33,3.0,0.33,0.0,Portugal
Conceição,right wing,34.0,8.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Portugal
Costa,goal keeper,90.0,6.67,0.0,0.0,0.0,0.0,4.67,2.67,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Portugal
Dalot,left back,90.0,7.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,4.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,Portugal
Dalot,right back,62.0,7.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Portugal
Dias,centre back,87.17,7.0,0.0,0.0,0.0,0.67,5.33,3.5,0.17,5.33,0.0,1.5,1.83,3.33,1.17,0.0,0.0,0.33,0.0,Portugal
Fernandes,attacking midfielder,78.6,7.6,0.6,0.4,1.4,3.2,4.2,2.6,4.0,3.4,0.6,1.2,0.6,0.2,0.0,0.8,1.2,0.2,0.0,Portugal
Fernandes,central midfielder,90.0,6.0,0.0,0.0,1.0,4.0,7.0,4.0,3.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,Portugal
Félix,left wing,58.67,7.33,0.67,0.67,1.33,3.33,1.0,0.67,1.67,4.0,0.33,1.0,0.33,0.0,0.0,1.67,3.0,0.0,0.0,Portugal
Inacio,centre back,60.0,7.0,0.0,0.0,0.33,0.67,4.0,2.67,0.33,3.33,0.33,1.0,1.33,2.0,0.33,0.0,0.0,0.0,0.0,Portugal
J Neves,central midfielder,78.0,7.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Portugal
J Neves,defensive midfielder,86.33,8.0,1.0,0.0,2.0,3.67,2.67,1.67,1.67,5.0,0.33,2.0,1.33,1.0,0.0,1.0,1.0,0.33,0.0,Portugal
Leão,left wing,56.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,Portugal
Mendes,left back,81.5,7.25,0.0,0.25,0.0,1.0,2.75,2.0,1.25,5.25,0.0,2.5,1.25,1.25,0.25,1.5,2.5,0.0,0.0,Portugal
Neto,left wing,70.5,7.0,0.0,0.0,1.0,1.5,1.5,0.5,1.5,3.5,1.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,Portugal
Neto,right wing,53.5,7.5,0.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.5,0.0,0.0,Portugal
R Neves,central midfielder,90.0,5.0,0.0,0.0,1.0,2.0,8.0,5.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Portugal
R Neves,centre back,79.0,7.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,Portugal
R Neves,defensive midfielder,76.0,8.0,0.5,0.0,1.0,3.0,8.5,6.0,1.0,4.5,0.5,2.5,1.5,1.0,0.0,0.5,0.5,0.0,0.0,Portugal
Ramos,centre forward,44.0,8.0,0.5,1.0,2.0,4.5,0.0,0.0,1.5,2.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,Portugal
Ronaldo,centre forward,74.4,7.2,1.0,0.0,2.4,5.6,0.2,0.0,0.2,2.0,0.0,0.0,0.0,0.6,0.0,0.4,1.0,0.0,0.2,Portugal
Semedo,right back,71.0,7.33,0.0,0.67,0.67,1.33,1.67,1.33,2.0,4.0,0.0,1.67,1.33,1.33,0.0,1.33,2.0,0.0,0.0,Portugal
Silva,left wing,90.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,Portugal
Silva,right wing,74.75,6.75,0.25,0.25,0.5,1.0,1.75,1.25,2.0,4.0,0.75,1.5,0.5,0.25,0.0,1.0,2.75,0.0,0.0,Portugal
Trincão,right wing,37.0,7.5,0.0,0.5,0.0,1.0,0.5,0.5,1.5,2.0,0.0,0.5,0.0,0.0,0.0,1.5,2.0,0.0,0.0,Portugal
Veiga,centre back,67.5,7.0,0.25,0.0,0.25,1.0,4.0,2.5,0.25,5.5,0.5,1.5,1.5,2.75,0.75,0.0,0.0,0.0,0.0,Portugal
Vitinha,defensive midfielder,79.0,7.4,0.0,0.0,0.2,1.4,4.0,3.0,2.0,4.2,0.4,1.6,1.2,0.6,0.0,1.4,1.4,0.0,0.0,Portugal
