position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
centre forward,45.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Spain
left wing,76.5,7.5,0.0,0.0,0.5,2.0,2.0,1.5,3.5,4.0,0.5,1.0,1.0,0.0,0.0,1.0,1.5,0.0,0.0,Spain
centre back,78.75,6.75,0.0,0.0,0.25,0.25,5.75,4.25,0.25,5.5,0.0,1.75,1.5,3.0,0.75,0.0,0.0,0.0,0.0,Spain
left back,90.0,7.0,0.2,0.2,0.2,0.4,2.8,1.8,1.0,5.8,0.4,2.8,1.4,2.8,0.6,0.8,1.0,0.0,0.0,Spain
centre forward,46.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Spain
right wing,71.67,7.0,0.33,0.33,0.67,2.0,1.0,1.0,1.33,3.33,0.33,1.0,0.0,0.0,0.33,1.33,2.33,0.0,0.0,Spain
central midfielder,90.0,7.0,0.0,0.0,0.0,1.0,8.0,6.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Spain
left back,90.0,8.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,8.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,Spain
centre back,90.0,7.0,0.0,0.0,0.0,1.0,7.5,5.0,0.5,3.5,0.0,1.5,1.0,6.5,2.5,0.5,0.5,0.0,0.0,Spain
centre forward,45.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Spain
centre back,90.0,7.33,0.0,0.0,0.33,1.0,6.33,4.67,0.0,3.0,0.33,1.0,1.67,3.0,0.67,0.0,0.0,0.0,0.0,Spain
centre back,74.0,7.25,0.0,0.5,0.0,0.25,5.5,3.25,0.25,5.25,0.0,1.25,1.0,3.25,0.25,0.0,0.0,0.25,0.0,Spain
right back,67.5,7.0,0.0,0.0,0.0,0.5,3.5,2.0,1.5,4.5,0.5,2.0,2.0,1.0,1.0,1.0,1.5,0.0,0.0,Spain
attacking midfielder,90.0,10.0,2.0,0.0,3.0,4.0,3.0,2.0,2.0,9.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Spain
central midfielder,75.4,7.4,0.8,0.0,0.8,2.2,3.2,2.2,1.2,4.4,0.0,1.6,0.8,0.8,0.0,0.4,0.6,0.2,0.0,Spain
left wing,74.0,8.0,1.0,0.0,2.0,4.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,Spain
centre forward,69.0,7.8,1.0,0.8,1.8,2.8,2.0,1.4,1.8,5.4,0.0,0.6,0.4,0.0,0.0,1.6,2.6,0.0,0.0,Spain
right wing,90.0,8.0,1.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Spain
central midfielder,77.67,8.0,0.67,0.0,1.0,2.0,3.0,2.33,3.33,6.0,0.67,1.33,1.0,0.0,0.0,3.0,4.33,0.0,0.0,Spain
defensive midfielder,66.0,8.0,0.0,0.0,0.0,2.0,6.0,5.0,4.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,Spain
left wing,65.0,8.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,Spain
right wing,62.0,7.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,Spain
right back,72.4,7.4,0.0,0.0,0.2,0.8,6.2,3.6,2.6,4.4,0.2,2.0,1.2,1.6,0.4,1.2,1.4,0.2,0.0,Spain
central midfielder,72.5,7.5,0.0,0.5,0.5,1.5,4.5,3.5,1.5,4.5,0.0,2.0,1.0,1.0,0.0,1.0,1.5,0.0,0.0,Spain
goal keeper,90.0,6.67,0.0,0.0,0.0,0.0,6.33,4.0,0.0,0.17,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,Spain
left wing,57.5,7.5,0.0,0.5,1.0,2.5,0.0,0.0,1.5,4.5,0.5,0.0,0.0,0.0,0.0,1.5,2.5,0.0,0.0,Spain
right wing,76.0,8.5,0.0,1.5,1.5,4.0,0.5,0.5,3.5,10.5,0.0,0.0,0.0,0.0,0.0,7.5,9.5,0.0,0.0,Spain
central midfielder,76.5,7.75,0.25,0.25,0.25,1.0,5.0,4.25,1.75,5.75,0.0,2.75,2.0,1.0,0.25,0.5,0.5,0.0,0.0,Spain
defensive midfielder,63.0,7.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Spain
