Countries,Overall Squad ratings_diff,Top 11 Squad ratings_diff,Squad_depth_60_diff,Squad_depth_45_diff,Squad_depth_avg_per_match_diff,Squad_depth_ratings_diff,Squad_depth_rating_15_diff,Squad_depth_index_diff,xg_per_90_diff,xga_per_90_diff,ppda_per_90_diff,Elo_ratings_diff,Attack Goals per 90_diff,Attack Assists per 90_diff,Attack Contributions per 90_diff,Attack Shots per 90_diff,Attack Key Passes per 90_diff,Attack Dribbles per 90_diff,Attack Rating_diff,Midfield Goals per 90_diff,Midfield Assists per 90_diff,Midfield Contributions per 90_diff,Midfield Touches per 90_diff,Midfield Key Passes per 90_diff,Midfield Dribbles per 90_diff,Midfield Defense per 90_diff,Midfield Tackles per 90_diff,Midfield Interceptions per 90_diff,Midfield Pass Accuracy_diff,Midfield Rating_diff,Defense Goals per 90_diff,Defense Assists per 90_diff,Defense Contributions per 90_diff,Defense Duels per 90_diff,Defense Clearances per 90_diff,Defense Blocks per 90_diff,Defense Take-ons Conceded per 90_diff,Defense Tackles per 90_diff,Defense Interceptions per 90_diff,Defense Duels Won Pct_diff,Defense Cards per 90_diff,Defense Rating_diff
Argentina,0.10000000000000053,-0.5999999999999996,6,4,-2.0,0.0,-1.0,21.0,-0.77,0.17000000000000004,1.4000000000000004,-206.30999999999995,-0.2730388735294233,-0.08446189661021575,-0.357500770139639,-0.4209446786275528,-0.6734529941859331,0.20608546795244265,-0.23000000000000043,0.06492141745030766,-0.045337858628720806,0.019583558821586883,-20.420859638874056,-0.19294413335456362,0.14159681010706182,0.3217732310926502,0.30775370692449,0.014019524168159325,-3.5700000000000074,0.1900000000000004,-0.02999697624441379,-0.0008561804038938678,-0.030853156648307664,-0.0023185270992502893,0.067062747724282,-0.07369283895112944,0.050005181110065855,0.010620882530947728,-0.2382327870393941,-0.010000000000000009,-0.09000000000000002,0.009999999999999787
Spain,-0.20000000000000018,-0.1999999999999993,11,11,-11.0,0.0,-1.0,66.0,-1.3699999999999999,0.20000000000000007,4.0,-207.9000000000001,-0.45137432978562064,-0.3246469386480627,-0.7760212684336834,-1.0576228243123893,-1.4486444049923723,-0.9465523547831671,-0.47000000000000064,-0.4299184301844662,-0.04176328035390045,-0.4716817105383666,-35.85915359868117,-1.2118678193921297,-0.25039650984114914,0.5453954704111346,0.5806037998072324,-0.035208329396098526,-9.530000000000001,-0.3899999999999997,-0.014042595720866996,-0.12830888881485625,-0.14235148453572327,-0.12422402012817901,0.21528770893117644,-0.021923503995163518,0.1898707482140734,0.37917759199665246,0.12890030077959413,-0.029999999999999916,0.16,-0.14000000000000057
France,-0.20000000000000018,-0.2999999999999998,3,3,-1.0,0.0,-1.0,38.0,-1.1700000000000002,0.27,3.700000000000001,-208.81999999999994,-0.6707463181759534,-0.14542974582050766,-0.816176063996461,-1.7093985586050544,-1.4649881112565204,-1.5576097174349803,-0.7000000000000002,0.044515177720155494,-0.0855873210517126,-0.04107214333155712,-16.345817391743772,-1.6064547072315742,-1.4040601181720747,-0.3385456617572835,0.2444205459716815,-0.5829662077289661,-7.5,-0.20000000000000018,0.02885540237255531,-0.12557243115036026,-0.09671702877780497,-0.07955537295772963,0.9821799694061752,0.2436738575588583,0.2361893183881157,0.6652983860343942,0.23727207269853068,-0.039999999999999925,0.21,-0.2400000000000002
England,-0.2999999999999998,-0.5,3,3,-3.0,0.0,-1.0,21.0,-0.9200000000000002,0.33000000000000007,3.0,-157.47000000000003,-0.4392055210121856,0.026942439447231986,-0.4122630815649536,-0.7648068812615647,-0.9709071663138245,-0.3343529647101966,-0.33000000000000007,0.015691377766777564,-0.15309486564197364,-0.13740348787519596,-18.587805005385142,-0.7744076819107322,-0.8640312628707005,0.5663011468337835,0.8238891800070767,-0.2575880331732936,-7.75,-0.2699999999999996,-0.10050140682615112,-0.05373450334019685,-0.154235910166348,0.34358458358625654,1.1695562198789267,0.13579561799258244,0.31790192757590086,0.46559016020065,0.23974453516328076,-0.04999999999999993,0.19,-0.45999999999999996
Brazil,0.40000000000000036,-0.5999999999999996,-11,-11,9.0,1.0,-1.0,-18.0,-0.6700000000000002,-0.09999999999999987,1.1000000000000014,-92.66000000000008,-0.01985609171733907,0.08453353666796976,0.06467744495063066,-0.14229231418297794,-0.39014510816344683,-0.1794499127183493,0.39999999999999947,-0.07777429989968632,-0.06977424945845115,-0.1475485493581375,-11.597073120875486,-0.25347382040371746,-0.22354902854987158,0.6916313449419018,0.3833635282621044,0.3082678166797963,-4.670000000000002,0.3600000000000003,0.00022944817408202325,0.028970126459596318,0.029199574633678345,0.944050745370042,0.9709283044820101,0.03459160672460593,-0.05369546169867523,0.4917166149847403,0.28491038672113045,0.020000000000000018,0.10999999999999999,0.21999999999999975
Portugal,0.0,-0.5999999999999996,14,13,-17.0,0.0,-1.0,65.0,-0.8699999999999999,0.13,2.0,-95.32999999999993,-0.43802028284169425,-0.18736733606449985,-0.625387618906194,-1.0841973777308027,-0.707628340073899,-0.01764484936364985,-0.1200000000000001,-0.2710728871478295,-0.033917942718823896,-0.3049908298666534,-27.666141259558167,-1.6344339361503921,-0.1180177092860637,1.0699960645727202,0.8992868251217225,0.17070923945099747,-8.530000000000001,-0.05999999999999961,-0.1042150756954585,-0.17850102655452335,-0.2827161022499819,-0.30949516714279746,0.8643181404106626,0.17360172339171154,0.13676095461590837,0.48658115548338743,0.03348449723320934,-0.029999999999999916,0.12,-0.1800000000000006
Netherlands,-0.2999999999999998,-1.299999999999999,8,8,-7.0,0.0,-1.0,40.0,-1.0999999999999999,0.10000000000000009,4.600000000000001,-89.36999999999989,-0.5430511845742906,-0.11462182659676873,-0.6576730111710594,-0.8846323027852212,-1.833609227545788,-0.8287238812471973,-0.8200000000000003,-0.10773585023618293,-0.13459166567680317,-0.24232751591298612,-21.60164975265321,-0.7271701008231792,-0.7719506324557934,0.8401485063183061,0.7065571237573489,0.1335913825609567,-9.510000000000005,-0.08000000000000007,-0.138992415605811,-0.09099515082386006,-0.22998756642967105,-0.21515625554963336,0.6183784840037219,0.04527962617729964,0.413689173178934,0.8605120114842801,0.38825638100946436,-0.06999999999999995,0.18,-0.16999999999999993
Belgium,-0.39999999999999947,-0.1999999999999993,8,8,-9.0,0.0,-1.0,57.0,-0.6700000000000002,0.0,2.6000000000000014,-66.21000000000004,-0.3942397530162084,-0.23439086809928106,-0.6286306211154893,-0.6412235447048789,-1.6724214973392373,-1.8499410976154687,-0.5200000000000005,-0.40829780743661437,-0.19518654562231036,-0.6034843530589247,-20.430621768319888,-1.683987379588009,-0.11221855548468596,0.6458759286944202,0.3932943661936319,0.25258156250078767,-6.989999999999995,-0.41999999999999993,-0.17055375567766629,-0.18936091416642553,-0.3599146698440918,0.006244189730545635,0.6451547976546284,0.18524784721081022,0.14814499969927492,0.2780156216035232,0.201231268022787,-0.029999999999999916,0.12,-0.4500000000000002
Germany,0.0,0.40000000000000036,13,12,-10.0,0.0,0.0,94.0,-0.97,-0.19999999999999996,3.4000000000000004,-61.86999999999989,-0.4229209141087298,-0.2073580495982838,-0.6302789637070134,-0.5529547989287567,-1.7043993436148073,0.020103572468761488,-0.34000000000000075,-0.040924745283293346,-0.062061812298458835,-0.10298655758175218,-21.7601623742081,-0.8996394916631048,-0.3825214995893653,1.0742644936211732,0.8928321275362574,0.1814323660849153,-6.030000000000001,0.16000000000000014,-0.15204912024051004,-0.13762141905423236,-0.2896705392947424,0.12281671261082572,0.6356018631148688,-0.10905602072562237,0.1306758222017429,0.4031056210839381,0.09264179183831955,-0.019999999999999907,0.07,-0.07000000000000028
Croatia,-0.39999999999999947,-1.0,3,2,-2.0,0.0,-1.0,10.0,-0.47,0.10000000000000009,1.200000000000001,-48.569999999999936,-0.31961615837245105,-0.1552745166561198,-0.47489067502857085,-0.7526658292169217,-1.4934782814020044,-0.1279550799512641,-0.3200000000000003,-0.3190268992502233,-0.2597213972059707,-0.5787482964561941,-17.526415256794813,-1.2053654128642235,-0.24695405932637504,0.7524206194246172,0.7181105731473658,0.034310046277251205,-8.200000000000003,-0.1899999999999995,-0.10354621586944544,-0.12221891924366796,-0.22576513511311336,-0.634251083153579,0.6559112068175676,0.022031561355433826,0.3479575230931067,0.05505237212491032,-0.057790398536134546,-0.05999999999999994,0.22,-0.5200000000000005
