players,position,minutes,ratings,goals scored,assist,shots on target,shots attempted,long balls,long balls completed,key passes,duels won,take-ons conceeded,tackles,interceptions,clearances,blocks,dribbles completed,dribbles attempt,yellow card,red card,nationality
Aguirre,attacking midfielder,68.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,Uruguay
Aguirre,centre forward,67.8,7.4,0.4,0.2,1.2,2.2,0.6,0.4,0.8,4.2,0.8,0.6,0.0,0.6,0.0,1.0,2.2,0.0,0.0,Uruguay
B Rodríguez,central midfielder,72.0,7.0,0.0,0.0,0.5,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,1.5,3.5,0.5,0.0,Uruguay
B Rodríguez,left wing,90.0,8.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,6.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,Uruguay
B Rodríguez,right wing,71.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Uruguay
Bentacur,central midfielder,90.0,7.6,0.0,0.0,0.0,0.8,4.8,2.8,1.0,7.2,0.8,4.0,2.0,1.2,0.6,1.0,1.6,0.4,0.0,Uruguay
Bentacur,defensive midfielder,85.0,8.0,0.0,0.33,0.0,0.67,5.67,4.0,1.33,7.33,0.67,3.67,1.33,1.0,0.67,1.0,1.33,0.33,0.0,Uruguay
Bueno,centre back,78.75,7.25,0.0,0.0,0.0,0.25,6.25,3.25,0.0,4.75,0.0,1.75,2.0,2.25,0.75,0.25,0.25,0.5,0.0,Uruguay
C Olivera,central midfielder,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Uruguay
C Olivera,centre forward,67.5,6.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,3.5,0.5,1.5,0.0,0.5,0.0,0.5,2.0,0.0,0.0,Uruguay
C Olivera,left wing,88.5,7.0,0.0,0.0,0.5,1.5,0.5,0.0,1.0,4.0,1.0,1.0,0.5,0.0,0.0,1.5,4.0,0.0,0.0,Uruguay
C Olivera,right midfielder,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Uruguay
Cannobio,right wing,70.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Uruguay
Carballo,central midfielder,45.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Uruguay
Cáceres,centre back,82.18,7.0,0.0,0.0,0.0,0.18,4.55,2.09,0.0,4.82,0.09,1.91,1.36,4.0,1.0,0.0,0.0,0.09,0.0,Uruguay
E Martínez,central midfielder,90.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Uruguay
